corpus,wordcount_mean,awl_mean,ttr_mean,amp_mean,andc_mean,caus_mean,demp_mean,dpar_mean,emph_mean,fpp1_mean,hdg_mean,inpr_mean,jj_mean,nn_mean,pin_mean,pit_mean,pomd_mean,spp2_mean,vprt_mean,xx0_mean,bema_mean,cont_mean,prod_mean,sere_mean,stpr_mean,thatd_mean,whcl_mean,whqu_mean,wordcount_max,awl_max,ttr_max,amp_max,andc_max,caus_max,demp_max,dpar_max,emph_max,fpp1_max,hdg_max,inpr_max,jj_max,nn_max,pin_max,pit_max,pomd_max,spp2_max,vprt_max,xx0_max,bema_max,cont_max,prod_max,sere_max,stpr_max,thatd_max,whcl_max,whqu_max,wordcount_min,awl_min,ttr_min,amp_min,andc_min,caus_min,demp_min,dpar_min,emph_min,fpp1_min,hdg_min,inpr_min,jj_min,nn_min,pin_min,pit_min,pomd_min,spp2_min,vprt_min,xx0_min,bema_min,cont_min,prod_min,sere_min,stpr_min,thatd_min,whcl_min,whqu_min,wordcount_sd,awl_sd,ttr_sd,amp_sd,andc_sd,caus_sd,demp_sd,dpar_sd,emph_sd,fpp1_sd,hdg_sd,inpr_sd,jj_sd,nn_sd,pin_sd,pit_sd,pomd_sd,spp2_sd,vprt_sd,xx0_sd,bema_sd,cont_sd,prod_sd,sere_sd,stpr_sd,thatd_sd,whcl_sd,whqu_sd
ACA,8480.495798,5.004285714,203.8823529,0.155294118,0.738151261,0.100588235,0.539495798,0.015042017,0.523193277,0.605378151,0.008403361,0.026890756,8.304117647,22.70310924,12.7089916,1.049243697,0.829327731,0.242857143,5.034957983,0.582352941,1.773529412,0.052773109,0.064369748,0.140420168,0.079327731,0.119747899,0.057815126,0.037142857,31960,5.84,259,0.53,1.66,0.32,1.42,0.16,1.67,3.53,0.09,0.31,13.89,30.43,18.01,2.53,1.94,5.25,8.68,1.79,3.26,0.83,0.31,0.67,0.39,0.45,0.28,0.31,314,4.32,158,0,0.21,0,0,0,0,0,0,0,3.78,15.28,9.92,0,0,0,0.56,0,0.64,0,0,0,0,0,0,0,5948.245095,0.267146159,19.78536374,0.101178007,0.295732261,0.068794636,0.260299204,0.027551922,0.229280129,0.708046716,0.015237287,0.036701912,1.807869057,3.32187683,1.36264038,0.523887295,0.362824912,0.835138416,1.770980708,0.293016763,0.423085094,0.115074953,0.060836522,0.100956401,0.074796119,0.086685308,0.057727584,0.049285451
DEM,1231.087912,3.609047619,124.4871795,0.254395604,0.445616606,0.132124542,1.401367521,0.554957265,1.023992674,5.421489621,0.117301587,0.073308913,3.48009768,15.32224664,5.565152625,3.133638584,0.915482295,3.925177045,10.30717949,2.428534799,2.957912088,6.014908425,0.537289377,0.032771673,0.484212454,0.831086691,0.221550672,0.259438339,12122,4.9,212,4.76,4.52,3.23,7.69,10,8.33,20.83,3.03,3.87,15.79,54.17,17.39,15.38,12,17.86,27.27,10.53,11.43,18.18,10,4.17,11.11,10,3.33,3.23,10,2.54,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816.188782,0.221764036,51.68520258,0.521658508,0.57249888,0.275115231,1.034133745,0.750705677,0.914796625,2.52578313,0.255582982,0.241854421,1.919352667,5.297515848,2.141682512,1.842495039,0.923459058,2.333518558,2.879101833,1.312232481,1.529855823,2.086717649,0.787606307,0.179796164,0.774081968,0.802211897,0.346802951,0.418217111
FIC,4311.738197,4.309957082,217.5793991,0.174678112,0.645021459,0.074248927,0.441716738,0.115193133,0.588626609,2.255236052,0.030429185,0.105321888,5.144806867,20.55841202,9.35223176,1.514678112,0.611845494,1.28223176,3.490128755,1.122532189,1.889356223,1.643690987,0.182188841,0.058798283,0.269699571,0.422060086,0.122103004,0.161888412,42679,4.79,263,0.79,1.69,0.58,1.42,0.57,1.35,7.06,0.24,0.73,10.33,47.37,13.16,3.69,6.06,6.06,11.41,3.03,3.2,6.06,0.82,0.39,1.01,1.46,0.6,0.97,33,3.75,33,0,0,0,0,0,0,0,0,0,2.17,15.12,3.03,0,0,0,0,0,0.48,0,0,0,0,0,0,0,5751.45708,0.18538752,22.7244344,0.1312769,0.374299489,0.084977014,0.256757914,0.106419314,0.236373103,1.342878425,0.04189257,0.09365198,1.289520454,2.954939401,1.32675557,0.56399285,0.425366507,0.865494774,2.204035578,0.533731198,0.487342386,1.046489258,0.132888722,0.068514519,0.174779158,0.225925407,0.086698783,0.129344653
HOC,4434.393064,4.486445087,219.3786127,0.256676301,0.476560694,0.147398844,0.627774566,0.052687861,0.973583815,3.190346821,0.037630058,0.098092486,6.41083815,20.49604046,9.445404624,1.507023121,0.729219653,0.542312139,7.09849711,1.338959538,2.426763006,1.01416185,0.211069364,0.058063584,0.120867052,0.340578035,0.107514451,0.131647399,10409,4.91,254,0.94,0.93,0.44,1.47,0.3,2.24,7.43,0.32,0.74,11.76,28.67,11.88,3.51,1.52,3.63,10.5,2.18,4.04,2.76,0.74,0.26,0.34,0.85,0.45,1.74,272,3.9,162,0,0,0,0.05,0,0.4,0.37,0,0,3.64,16.44,7.4,0,0.19,0,2.16,0.32,1.2,0,0,0,0,0,0,0,2309.51512,0.150686617,11.50417715,0.124013531,0.147026639,0.081870505,0.215508744,0.04683614,0.279820626,1.253013479,0.039263386,0.076966792,0.969171852,1.668952701,0.73522942,0.486135407,0.211080652,0.434689129,1.118856065,0.317418142,0.388629605,0.439377052,0.107866051,0.046619104,0.066291842,0.131971499,0.069538071,0.125762152
JOC,3729.376712,4.485136986,171.4452055,0.478561644,0.421575342,0.531369863,0.487191781,0.047260274,1.035616438,5.850273973,0.031369863,0.043424658,5.868013699,19.93465753,7.632123288,1.555068493,0.903424658,0.391027397,8.641027397,1.68760274,2.799109589,0.885273973,0.21890411,0.026369863,0.064383562,0.729726027,0.150479452,0.03260274,22846,5.07,227,1.63,2.04,3.13,3.13,0.5,2.88,14.56,0.46,1.11,11.4,50,16.67,3.67,4.44,1.79,12.24,6.12,4.39,2.17,3.13,0.54,0.33,1.59,1.1,0.89,32,3.93,32,0,0,0,0,0,0,2.35,0,0,1.67,11.11,3.13,0,0,0,3.23,0,0,0,0,0,0,0,0,0,4027.881732,0.181872393,38.3799572,0.292508744,0.269017852,0.38509046,0.335741574,0.072144687,0.471981842,2.015514633,0.053814882,0.131140558,1.62353366,3.551828313,1.467826547,0.602268409,0.540165286,0.346807568,1.336905191,0.704723281,0.706304536,0.434958889,0.380649397,0.060113458,0.069301665,0.290853548,0.163527208,0.101621711
NWS,290.5777171,4.775394657,135.5170006,0.099899818,0.333679417,0.083084396,0.214201579,0.033734062,0.438925319,0.889323012,0.011669702,0.031867031,6.172668488,32.68309957,11.29952034,0.821323619,0.371599879,0.150519126,3.900376442,0.434344262,1.298925319,0.375743777,0.062213115,0.096077717,0.079802672,0.320765027,0.044744991,0.009611415,12261,6.78,269,4.08,4.69,2.72,4.08,2.5,5.48,9.68,2,3.45,22.32,92.86,25.81,8,5.26,8.4,20,5.17,12,6.63,3.7,2.86,4,5.71,1.89,2.56,9,3.64,10,0,0,0,0,0,0,0,0,0,0,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.2520788,0.34078117,68.87837802,0.251445301,0.486117012,0.242976446,0.370315912,0.147173874,0.572192335,1.383962916,0.08585579,0.153312268,2.626562095,7.844860489,2.833686897,0.930683984,0.533216115,0.508289562,2.33031158,0.589267802,1.069557607,0.783883503,0.194740101,0.253412857,0.256036369,0.533396451,0.157861444,0.072716795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOC,4434.393064,4.486445087,219.3786127,0.256676301,0.476560694,0.147398844,0.627774566,0.052687861,0.973583815,3.190346821,0.037630058,0.098092486,6.41083815,20.49604046,9.445404624,1.507023121,0.729219653,0.542312139,7.09849711,1.338959538,2.426763006,1.01416185,0.211069364,0.058063584,0.120867052,0.340578035,0.107514451,0.131647399,10409,4.91,254,0.94,0.93,0.44,1.47,0.3,2.24,7.43,0.32,0.74,11.76,28.67,11.88,3.51,1.52,3.63,10.5,2.18,4.04,2.76,0.74,0.26,0.34,0.85,0.45,1.74,272,3.9,162,0,0,0,0.05,0,0.4,0.37,0,0,3.64,16.44,7.4,0,0.19,0,2.16,0.32,1.2,0,0,0,0,0,0,0,2309.51512,0.150686617,11.50417715,0.124013531,0.147026639,0.081870505,0.215508744,0.04683614,0.279820626,1.253013479,0.039263386,0.076966792,0.969171852,1.668952701,0.73522942,0.486135407,0.211080652,0.434689129,1.118856065,0.317418142,0.388629605,0.439377052,0.107866051,0.046619104,0.066291842,0.131971499,0.069538071,0.125762152
JOC,3729.376712,4.485136986,171.4452055,0.478561644,0.421575342,0.531369863,0.487191781,0.047260274,1.035616438,5.850273973,0.031369863,0.043424658,5.868013699,19.93465753,7.632123288,1.555068493,0.903424658,0.391027397,8.641027397,1.68760274,2.799109589,0.885273973,0.21890411,0.026369863,0.064383562,0.729726027,0.150479452,0.03260274,22846,5.07,227,1.63,2.04,3.13,3.13,0.5,2.88,14.56,0.46,1.11,11.4,50,16.67,3.67,4.44,1.79,12.24,6.12,4.39,2.17,3.13,0.54,0.33,1.59,1.1,0.89,32,3.93,32,0,0,0,0,0,0,2.35,0,0,1.67,11.11,3.13,0,0,0,3.23,0,0,0,0,0,0,0,0,0,4027.881732,0.181872393,38.3799572,0.292508744,0.269017852,0.38509046,0.335741574,0.072144687,0.471981842,2.015514633,0.053814882,0.131140558,1.62353366,3.551828313,1.467826547,0.602268409,0.540165286,0.346807568,1.336905191,0.704723281,0.706304536,0.434958889,0.380649397,0.060113458,0.069301665,0.290853548,0.163527208,0.101621711
RATIO,1.189044016,1.000291652,1.279584414,0.536349505,1.13042829,0.277394061,1.288557384,1.114844601,0.940100774,0.545332891,1.199560795,2.258912128,1.092505655,1.028161152,1.237585436,0.969104016,0.807172626,1.386890388,0.821487629,0.793409199,0.866976776,1.145590948,0.964209236,2.20189175,1.877296765,0.466720415,0.714479282,4.037924418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
