Filename	Dimension1	Dimension2	Dimension3	Dimension4	Dimension5	Dimension6	Closest Text Type
HOC-MY	-0.06	-0.68	2.15	4.79	2.78	-0.21	Involved persuasion
HOC-MZ	7.25	-0.11	3.24	5.75	-0.05	0.27	Involved persuasion
HOC-NA	4.28	-0.85	2.49	6.2	0.83	-0.43	Involved persuasion
HOC-NB	0.35	-0.49	4.74	2.81	1.92	0.83	Involved persuasion
HOC-NC	4.22	-1.21	1.78	4.38	-1.28	0.19	Involved persuasion
HOC-ND	-6.19	-2.26	4.54	2.65	1.43	-0.1	General narrative exposition
HOC-NE	-0.78	-3.07	4.62	6.88	0.55	-0.81	Involved persuasion
HOC-NF	4.95	-1.44	4.18	2.7	0.42	1.15	Involved persuasion
HOC-NG	5.81	0.79	4	5.42	0.74	-0.72	Involved persuasion
HOC-NH	-1.97	-2.19	3.4	10.04	0.93	0.45	Involved persuasion
HOC-AA	12.04	-3.13	1.57	4.82	0.71	-0.74	Involved persuasion
HOC-AB	1.29	-3.52	1.4	4.27	-0.35	-1.14	Involved persuasion
HOC-AC	-0.31	-2.39	2.44	7.84	2.5	-0.19	Involved persuasion
HOC-AD	2.25	-1.68	3.47	6.41	1.79	0.83	Involved persuasion
HOC-AE	10.91	-2.42	2.23	10.55	2.03	-0.41	Involved persuasion
HOC-AF	0.72	-1.48	0.9	8.84	2.04	-0.79	Involved persuasion
HOC-AG	1.63	0.8	3.33	9.9	1.19	0.57	Involved persuasion
HOC-AH	-1.31	-2.48	3.19	6.56	-0.12	0.4	Involved persuasion
HOC-AI	0.919999999999999	-1.96	2.88	0.0599999999999999	0.91	0.19	Involved persuasion
HOC-AJ	7.47	-2.87	2.91	1.7	-1.13	0.93	Involved persuasion
HOC-AK	1.23	-2.55	2.4	3.08	-0.0700000000000001	-0.76	Involved persuasion
HOC-AL	-6.33	-3.42	2.28	7.54	1.56	0.64	General narrative exposition
HOC-AM	-1.97	-0.33	2.1	10.29	2.91	2.1	Involved persuasion
HOC-AN	5.93	-0.98	2.82	4.57	0.11	2.79	Involved persuasion
HOC-AO	7.31	-1.97	1.8	2.5	-0.02	1.27	Involved persuasion
HOC-AP	0.39	-4.52	1.73	4.3	0.99	-0.77	Involved persuasion
HOC-AQ	-0.909999999999999	-1.58	3.76	6.73	1.33	1.81	Involved persuasion
HOC-AR	-4.61	-0.93	6.73	4.06	1.24	3.79	General narrative exposition
HOC-AS	-4.01	-0.93	2.69	6.01	0.09	-0.15	Involved persuasion
HOC-AT	5.16	-1.96	1.95	12.65	3.03	2.23	Involved persuasion
HOC-AU	-4.02	-3.08	4.34	12.93	2.81	-1.12	Involved persuasion
HOC-AV	-3.99	0.43	3.04	4.25	4.2	0.33	General narrative exposition
HOC-AW	-1.54	-1.14	3.61	4	-0.17	-0.66	Involved persuasion
HOC-AX	-2.96	-2.11	7.37	7.98	1.66	0.93	Involved persuasion
HOC-AY	-1.88	0.49	3.32	9.31	1.73	-0.55	Involved persuasion
HOC-AZ	-4.8	-1.75	0.53	-1.41	-0.95	-0.95	General narrative exposition
HOC-BA	1.93	1.25	5.43	4.87	0.71	0.93	Involved persuasion
HOC-BB	-2.62	-0.49	4.67	3.62	0.96	-0.98	Involved persuasion
HOC-BC	-1.69	-1.7	6.09	9.56	-0.23	-0.18	Involved persuasion
HOC-BD	6.1	0.38	1.37	9.6	0.2	2.46	Involved persuasion
HOC-BE	1.29	-1.51	6.36	8.5	0.63	-0.24	Involved persuasion
HOC-BF	2.63	-0.8	1.93	7.82	-0.66	-1.15	Involved persuasion
HOC-BG	-0.16	-0.7	1.85	0.32	-0.79	-1.1	Involved persuasion
HOC-BH	-1.82	-1.38	3.91	5.3	0.94	0.3	Involved persuasion
HOC-BI	11.81	-2.38	2.38	0.92	0.66	1.81	Involved persuasion
HOC-BJ	5.01	-2.06	1.66	10.9	-0.00999999999999995	-0.14	Involved persuasion
HOC-BK	4.73	-0.48	2.4	14.62	2.75	1.33	Involved persuasion
HOC-BL	-4.16	1.34	2.83	6.76	1.33	1.22	General narrative exposition
HOC-BM	-3.67	-1.1	4.81	7.94	0.96	0.86	Involved persuasion
HOC-BN	2.28	-2.26	1.08	0.79	1.47	1.26	Involved persuasion
HOC-BO	0.239999999999999	-1.21	3.27	6.79	2.8	1.16	Involved persuasion
HOC-BP	-1.8	-2.95	1.9	9.46	3.65	0.21	Involved persuasion
HOC-BQ	-2.46	-3.39	9.4	3.73	-1.06	-0.29	Involved persuasion
HOC-BR	-5.89	-4.03	1.35	1.2	3.22	-0.85	General narrative exposition
HOC-BS	0.39	-2.36	1.11	5.29	-0.23	-0.36	Involved persuasion
HOC-BT	-3.11	-0.46	3.15	5.85	1.01	0.57	Involved persuasion
HOC-BU	0.46	0.16	5.36	4.65	-0.95	-1.86	Involved persuasion
HOC-BV	-3.66	0.5	1.19	9.08	-0.58	-0.93	Involved persuasion
HOC-BW	0.59	2.27	0.26	9.53	1.45	0.43	Involved persuasion
HOC-BX	-0.58	-1.92	1.86	7.03	0.38	-0.3	Involved persuasion
HOC-BY	2.15	-2.84	2.02	8.21	1.36	-0.33	Involved persuasion
HOC-BZ	-0.98	-0.95	0.4	6.71	1.13	-1.16	Involved persuasion
HOC-CA	5.54	-2.64	3.56	4.05	0.54	0.12	Involved persuasion
HOC-CB	2.65	-1.77	5.37	6.78	1.93	0.64	Involved persuasion
HOC-CC	-3.29	-1.57	3.02	10.27	-0.22	-0.78	Involved persuasion
HOC-CD	4.67	-1.12	2.51	9.02	0.72	0.87	Involved persuasion
HOC-CE	-1.67	0.88	2.2	5.82	1.23	0.95	Involved persuasion
HOC-CF	-1.45	-0.85	3.82	3.15	-0.0100000000000001	-2.07	Involved persuasion
HOC-CG	-0.29	-0.43	4.73	8.57	0.96	0.74	Involved persuasion
HOC-CH	-1.31	-0.72	4.64	4.97	2.36	0.57	Involved persuasion
HOC-CI	-2.27	0	3.48	4.08	0.5	-0.37	Involved persuasion
HOC-CJ	0.279999999999999	-1.37	5.56	3.52	2.05	-0.34	Involved persuasion
HOC-CK	-2.28	-2.74	3.62	7.46	3.65	0.1	Involved persuasion
HOC-CL	9.47	1.16	-0.2	10.73	1.44	0.52	Involved persuasion
HOC-CM	-6.86	-0.57	6.81	0.95	0.89	1.31	General narrative exposition
HOC-CN	-0.24	-2.79	-1.31	-0.25	1.93	-0.81	Involved persuasion
HOC-CO	3.07	-3.08	0.83	6.46	2.09	-0.26	Involved persuasion
HOC-CP	0.83	-0.09	0.41	0.16	-0.96	0.33	Involved persuasion
HOC-CQ	-1.91	-2.37	3.58	7.69	1.07	-0.21	Involved persuasion
HOC-CR	-0.89	-0.98	3.92	10.05	2.82	0.77	Involved persuasion
HOC-CS	6.19	-2.38	-1.5	6.89	0.23	-0.1	Involved persuasion
