Filename	Dimension1	Dimension2	Dimension3	Dimension4	Dimension5	Dimension6	Closest Text Type
JOC-15B-08N	4.6	-3.1	8.24	2.47	3.1	3.72	Involved persuasion
JOC-15B-09N	11.03	-2.61	6.26	6.91	3.65	4	Involved persuasion
JOC-15B-10N	5.1	-1.47	5.98	4.36	3.51	2.86	Involved persuasion
JOC-15B-11N	10.46	-2.07	5.42	4.52	3	2.84	Involved persuasion
JOC-15B-12N	0.8	-3.02	5.16	4.75	3.56	1.58	Involved persuasion
JOC-15B-13N	6.27	-1.93	4.01	4.48	3.1	0.86	Involved persuasion
JOC-15B-14N	1.81	-1.85	5.29	2.66	3.15	1.18	Involved persuasion
JOC-15B-15N	-4.38	-4.22	4.58	0.37	3.22	2.55	General narrative exposition
JOC-15B-16N	4.05	-1.66	7.37	1.7	2.52	3.62	Involved persuasion
JOC-15B-17N	0.86	-1.94	4.93	8.2	4.79	1.98	Involved persuasion
JOC-15B-18N	25.36	-4.21	2.19	3.9	0.96	4.55	Informational interaction
JOC-12A-01N	6.35	-2.32	0.78	7.87	1.7	3.35	Involved persuasion
JOC-12A-01O	10.04	-1.57	4.43	5.99	3.94	3.1	Involved persuasion
JOC-12A-02N	22.19	-1.3	3.16	8.46	2.82	0.64	Informational interaction
JOC-12A-02O	18.44	-3.89	3.02	5.61	-3.92	-1.38	Involved persuasion
JOC-12A-03N	11.94	-1.03	3.13	5.83	1.64	0.54	Involved persuasion
JOC-12A-04N	12.62	-0.62	5.13	5	0.74	4.09	Involved persuasion
JOC-12A-04O	9.59	-1.98	5.72	-0.13	10.73	6.02	Involved persuasion
JOC-12A-05N	13.92	0.4	4.28	9.16	1.63	2.34	Involved persuasion
JOC-12A-05O	14.18	-1.13	2.82	7.63	2.03	1.12	Involved persuasion
JOC-12A-06N	13.03	1.83	3.57	8.06	2.43	4.55	Involved persuasion
JOC-12A-06O	14.66	2.15	5.78	7.64	1.48	3.92	Involved persuasion
JOC-12A-07N	11.4	-3.56	5.1	10.81	2.44	2.12	Involved persuasion
JOC-12A-07O	7.92	-4.22	5.88	7.55	3.91	0.81	Involved persuasion
JOC-12B-01N	15.7	1.34	2.88	6.08	3.25	1.69	Involved persuasion
JOC-12B-01O	15.86	1.11	3.33	6.07	3.22	1.61	Involved persuasion
JOC-12B-02N	12.95	-3.35	6.1	5.17	2.17	3.67	Involved persuasion
JOC-12B-02O	3.56	-3.43	3.51	3.03	4.14	3.05	Involved persuasion
JOC-12B-03N	13.82	-2.1	3.61	5.06	3.23	2.29	Involved persuasion
JOC-12B-03O	32.53	-1.64	6.73	5.23	0.44	9.5	Informational interaction
JOC-12B-04N	9.2	0.29	5.07	1.61	3.73	1.99	Involved persuasion
JOC-12B-04O	-7.7	-1.21	3.31	2.12	2.53	0.48	General narrative exposition
JOC-12B-05N	12.98	1.28	5.33	8.41	3.89	2.43	Involved persuasion
JOC-12B-06N	3.6	-2.35	4.87	-0.0100000000000005	2.16	1.36	Involved persuasion
JOC-12B-07N	5.5	-2.79	5.43	3.24	4.26	2.86	Involved persuasion
JOC-12B-07O	5.04	-0.14	0.13	-0.65	3.07	-0.52	Involved persuasion
JOC-12B-08N	18.88	0.18	5.36	3.95	2.72	4.86	Involved persuasion
JOC-12B-09N	5.35	-1.47	3.71	5.43	0.0399999999999998	1.7	Involved persuasion
JOC-12B-09O	4.24	-0.71	2.07	8.54	5.07	6.6	Involved persuasion
JOC-13A-01N	8.56	-2.24	2.78	3	3.58	3.21	Involved persuasion
JOC-13A-01O	10.17	-2.6	0.74	5.97	4.96	1.49	Involved persuasion
JOC-13A-02N	15.46	-3.8	1.95	8.37	4.31	2.93	Involved persuasion
JOC-13A-02O	7.81	-5.84	4.08	3.56	9.69	3.86	Involved persuasion
JOC-13A-03N	15.12	-2.36	2.86	3.42	1.98	1.98	Involved persuasion
JOC-13A-04N	12.98	-1.53	2.05	4.4	1.34	2.3	Involved persuasion
JOC-13A-04O	16.04	-1.62	3.64	2.66	1.15	2.14	Involved persuasion
JOC-13A-05N	10.41	-1.92	1.9	7	2.51	1.21	Involved persuasion
JOC-13A-05O	19.31	-2.4	1.75	6.9	3.18	3.23	Informational interaction
JOC-13A-06N	10.41	-2.44	2.18	4.08	3.26	1.33	Involved persuasion
JOC-13A-06O	-0.57	-1.73	5.32	0.95	5.1	-0.29	Involved persuasion
JOC-13A-07N	15.95	-2.24	5.38	8.38	1.7	-0.9	Involved persuasion
JOC-13A-08N	11.1	-2.77	4.9	6.54	2.04	2.16	Involved persuasion
JOC-13A-08O	-0.9	-4.34	7.77	6.63	3.34	1.14	Involved persuasion
JOC-13A-09N	16.6	-0.51	4.59	4.92	2.62	1.54	Involved persuasion
JOC-13A-09O	7.38	0.54	11.77	-1.46	-1.61	3.76	Involved persuasion
JOC-13B-01N	12.22	-2.14	3.63	7.78	2.36	4.55	Involved persuasion
JOC-13B-01O	17.02	-1.23	4.37	9.84	3.73	3.86	Involved persuasion
JOC-13B-02N	5.62	-4.64	5.35	5.45	3.38	2.78	Involved persuasion
JOC-13B-03N	16	-1.84	2.13	9.91	2.92	1.04	Involved persuasion
