Filename	Dimension1	Dimension2	Dimension3	Dimension4	Dimension5	Dimension6	Closest Text Type
ACA-A6U-002	-21.65	-1.29	5.07	-6.21	1.83	-1.57	Learned exposition
ACA-A6U-003	-17.1	-1.06	5.71	-4.41	3.33	-0.93	Learned exposition
ACA-A6U-004	-9.7	-2.62	5.23	-1.74	3.53	0.36	Scientific exposition
ACA-A6U-005	-19.64	-1.22	8.52	-4.52	5.9	1.19	Learned exposition
ACA-A6U-006	-14.96	-1.68	9.82	-4.41	1.76	-0.59	Learned exposition
ACA-ACJ-001	-8.59	-2.48	6.03	5.4	5.18	1.31	Scientific exposition
ACA-ACJ-002	-8.99	-2.67	5.02	3.2	4.13	1.81	General narrative exposition
ACA-ALP-001	-7.81	-2.27	7.02	-0.11	5.7	-0.73	Scientific exposition
ACA-ALP-002	-6.31	3.1	7.57	-2.06	1.15	1.41	General narrative exposition
ACA-ALP-003	-9.61	-3.13	11.84	-1.18	3.41	0.24	Scientific exposition
ACA-ALP-004	-13.41	-1.75	5.27	-2.8	7.16	0.14	Scientific exposition
ACA-AMM-001	-12.74	-3.04	0.88	-3.91	1.93	-0.48	General narrative exposition
ACA-AMM-002	-8.7	-1.48	0.51	-1.15	2.39	0.9	General narrative exposition
ACA-AS6-001	-16.47	-2.05	8.82	-2.33	2.8	-0.46	Learned exposition
ACA-AS6-002	-17.65	-1.53	9.94	-4.82	3.95	-0.17	Learned exposition
ACA-AS6-003	-16.33	-2.41	8.82	-2.73	4.4	0.48	Learned exposition
ACA-AS6-004	-14.89	-1.24	8.95	-0.83	3.03	0.41	Learned exposition
ACA-B1G-001	-15.53	-3.72	8.36	-0.73	6.75	0.45	Scientific exposition
ACA-B17-002	-10.88	-1.58	7.98	0.51	6.45	1.99	Scientific exposition
ACA-B17-003	-9.45	-1.98	6	-0.53	6.04	0.9	Scientific exposition
ACA-CLP-001	-8.89	-4.6	9.4	1.99	4.31	-0.33	Scientific exposition
ACA-B1G-002	-16.5	-3.52	9.33	-1.77	5.59	-0.46	Scientific exposition
ACA-B2K-001	-7.16	-3.56	8.26	-0.0299999999999998	5.85	3.12	Scientific exposition
ACA-B2K-002	-2.8	-3.6	6.21	4.14	8.71	1.93	Involved persuasion
ACA-B2K-003	-2.78	-4.04	5.66	2.32	8.35	3.66	Involved persuasion
ACA-B2K-004	2.19	-4.34	8.16	-0.36	7.58	2.33	Involved persuasion
ACA-B2K-005	-2.37	-4.1	9.06	2.6	6.52	2.01	Involved persuasion
ACA-B2K-006	-2.72	-2.48	10.19	0.86	7.53	3.07	Scientific exposition
ACA-B2K-007	-7.14	-4.39	6.45	-0.25	6.98	2.02	Scientific exposition
ACA-B2K-008	-6.38	-4.08	7.85	-1.18	7.73	3.9	Scientific exposition
ACA-B17-001	-8.2	-4.33	10.39	0.25	5.96	0.85	Scientific exposition
ACA-CLP-002	-9.1	-4.22	10.6	0.79	4.72	-0.43	Scientific exposition
ACA-CLW-001	-15.91	-1.21	10.04	0.31	3.95	0.47	Learned exposition
ACA-CLW-002	-17.36	-2.98	11.08	-2.41	4.86	0.71	Learned exposition
ACA-CMA-001	-15.64	-0.69	4.76	-1.46	5.44	1.09	Scientific exposition
