Filename	Dimension1	Dimension2	Dimension3	Dimension4	Dimension5	Dimension6	Closest Text Type
DEM-KB5-002	30.08	-6.15	-3.79	-4.14	-3.92	-3.5	Informational interaction
DEM-KB5-004	47.89	-1.44	-2.15	0.44	-1.94	-0.38	Intimate interpersonal interaction
DEM-KB5-005	50.63	-0.57	0.310000000000001	0.0699999999999994	-3.92	-0.76	Intimate interpersonal interaction
DEM-KB5-006	3.01	-2.04	-7.11	-9.27	-3.92	-3.5	Situated reportage
DEM-KB5-007	22.38	-1.85	-4.53	-2.78	-0.98	-0.17	Informational interaction
DEM-KB5-008	20.67	-2.12	-2.93	2.05	-1.91	-3.5	Informational interaction
DEM-KB5-009	8.49	-5.62	0.970000000000001	-7.24	-3.92	-3.5	Involved persuasion
DEM-KB5-010	26.08	-4.24	-1.14	-0.73	-2.37	0.91	Informational interaction
DEM-KB5-001	28.18	-5.16	-1.22	-2.07	2.53	-3.5	Informational interaction
DEM-KB7-002	25.08	-0.88	-1.61	-1.62	-3.3	0.35	Informational interaction
DEM-KB7-003	26.89	0.38	-2.8	2.93	-2.25	-1.14	Informational interaction
DEM-KB7-004	26.66	2.66	1.47	1.79	-2.48	-2.08	Informational interaction
DEM-KB5-003	17.24	-7.38	-2.09	-2.07	-3.92	1.67	Informational interaction
DEM-KB7-006	32.18	-1.11	-1.53	3.4	-1.16	-1.12	Informational interaction
DEM-KB7-007	34.89	-1.09	-1.54	1.16	1.26	0.67	Informational interaction
DEM-KB7-001	37.51	-2.38	-3.64	0.55	-0.47	-1.86	Informational interaction
DEM-KB7-009	37.59	-1.45	-4.73	0.73	-3.45	1.38	Intimate interpersonal interaction
DEM-KB7-010	39.51	-3.29	-3	-1.57	-2.02	-1.31	Intimate interpersonal interaction
DEM-KB7-005	27.95	-6.9	0.79	-5.82	-3.92	-3.5	Informational interaction
DEM-KB7-012	31.03	-2.59	-3.29	-1.03	-2.74	-1.01	Informational interaction
DEM-KB7-008	50.6	-2.83	1.51	8.31	0.7	-2.59	Intimate interpersonal interaction
DEM-KB7-014	23.84	-4.12	-1.6	4.95	-3.92	1	Informational interaction
DEM-KB7-015	29.5	3.27	-2.78	3.04	-0.19	-0.59	Informational interaction
DEM-KB7-016	8.9	-4.64	-2.17	-2.94	1.99	-3.5	Involved persuasion
DEM-KB7-017	15.6	-5.81	-4.59	-0.48	-3.92	3.86	Involved persuasion
DEM-KB7-011	37.62	0.03	-1.75	1.96	-1.7	-0.95	Informational interaction
DEM-KB7-019	25.5	-2.24	-2.31	-1.27	-1.36	-1.05	Informational interaction
DEM-KB7-020	33.81	-3.57	-1.31	-2.09	-2.14	1.67	Informational interaction
DEM-KB7-013	28	-2.91	-2.16	-3.32	-2.83	-1.17	Informational interaction
DEM-KB7-022	35.61	-2.93	-2.05	-1.32	-2.15	0.45	Informational interaction
DEM-KB7-018	29.28	-1.34	-2.96	-4.65	-2.99	-0.54	Informational interaction
DEM-KB7-024	27.13	-2.63	-1.1	4.04	-2.37	-0.14	Informational interaction
DEM-KB7-025	25.5	3.82	-3.54	0.23	-2	-0.24	Informational interaction
DEM-KB7-021	29.96	-1.47	-2.3	1.05	-1.74	-0.4	Informational interaction
DEM-KB7-023	29.22	-1.23	-2.41	0.18	-2.49	0.74	Informational interaction
DEM-KB7-028	36.16	-2.11	-2.25	4.19	0.36	-0.45	Informational interaction
DEM-KB7-029	25.12	-1.56	-1.86	4.39	-3.92	-0.88	Informational interaction
DEM-KB7-030	20.04	-3.63	-0.97	1.13	-1.49	0.88	Informational interaction
DEM-KB7-026	22.47	-0.63	-0.53	0.05	-2.37	-1.01	Informational interaction
DEM-KB7-032	28.79	0.43	-1.44	2.72	-0.91	0.3	Informational interaction
DEM-KB7-033	22.44	-1.61	5.08	-3.13	-1.44	3.86	Informational interaction
DEM-KB7-034	45.33	3.25	4.17	-3.18	-3.92	-3.5	Intimate interpersonal interaction
DEM-KB7-035	16.45	-7.38	1.62	-1.61	-3.92	-3.5	Involved persuasion
DEM-KB7-036	31.79	-7.38	-18.22	-3.13	-3.92	-3.5	Informational interaction
DEM-KB7-027	22.14	-1.72	-1.34	-2.05	-2.68	-1.4	Informational interaction
DEM-KB7-038	18.67	-2.95	-7.34	0.0300000000000011	-3.92	0.22	Informational interaction
DEM-KB7-039	26.78	-1.51	-1.07	3.41	-1.31	-1.34	Informational interaction
DEM-KB7-040	28.19	-7.38	-6.98	-4.87	-3.92	-3.5	Informational interaction
DEM-KB7-041	25.14	-3.83	-6.25	4.99	-2.81	-0.69	Informational interaction
DEM-KB7-042	21.17	-7.38	-5.8	-9.27	-3.92	-3.5	Informational interaction
DEM-KB7-043	24	-4.09	-4.45	3.56	-3.02	-1.74	Informational interaction
DEM-KB7-031	35.08	-2.37	-2.12	3.04	-2.2	-1.67	Informational interaction
DEM-KB7-045	34.95	2.61	-1.08	2.32	-2.65	-1.26	Informational interaction
DEM-KB7-037	32.41	-1.79	-2.98	2.79	0.56	-0.14	Informational interaction
DEM-KB7-047	29.68	-1.69	-2.53	-1.51	-3.68	-2.38	Informational interaction
DEM-KB7-048	24.37	-1.11	-1.76	0.6	-2.42	-1.64	Informational interaction
DEM-KB7-044	31.18	-1.29	-1.93	2.29	-2.19	-0.92	Informational interaction
DEM-KB7-050	32.99	-1.91	-1.54	5.29	-0.88	-0.1	Informational interaction
DEM-KB7-051	23.2	-2.46	-1.55	-2.55	-1.36	-1.54	Informational interaction
DEM-KB7-052	25.71	-3.62	-1.99	-1.81	-3.21	1.88	Informational interaction
DEM-KB7-053	31.5	-1.53	-2.65	-1.56	-2.11	-0.66	Informational interaction
DEM-KB7-054	25.03	-6.97	-0.35	-4.07	-3.92	-0.52	Informational interaction
DEM-KB7-046	31.72	-2.8	-0.93	0.36	-1.54	0.26	Informational interaction
DEM-KB7-049	30.54	-1.93	-1.42	0.11	-1.53	-1.41	Informational interaction
DEM-KB7-057	23.26	1.16	-3.62	7.93	-3.14	0.76	Informational interaction
DEM-KB7-058	43.12	-5.18	-4.87	-1.61	1.12	-3.5	Intimate interpersonal interaction
DEM-KB7-059	21.12	-6.78	-2.51	3.2	-3.92	3.86	Informational interaction
DEM-KB7-060	32.9	1.88	-2.92	3.58	-1.34	-1.73	Informational interaction
DEM-KBC-001	28.83	3.74	-0.73	-3.73	-1.71	-0.7	Informational interaction
DEM-KB7-055	30.69	-3.76	-2.11	3.18	0.62	-0.9	Informational interaction
DEM-KBC-003	39.69	-6.67	0.71	-1.61	-3.92	-3.5	Intimate interpersonal interaction
DEM-KBC-004	35.99	-0.6	-1.2	1.13	-2.35	-1.52	Informational interaction
DEM-KB7-056	40	-1.04	-1.94	3.58	-0.71	-0.62	Intimate interpersonal interaction
DEM-KBC-002	24.62	-3.42	-4.41	0.85	-3.56	-2.93	Informational interaction
DEM-KBC-007	49.4	-6.15	-1.52	2.18	-3.92	4.45	Intimate interpersonal interaction
DEM-KBC-008	38.72	0.18	-1.02	-0.24	-2.9	-0.38	Intimate interpersonal interaction
DEM-KBC-005	28.59	-1.36	-1.5	-1.94	-2.75	-1.67	Informational interaction
DEM-KBC-010	37.84	0.83	-1.84	-1.69	-1	-1.16	Informational interaction
DEM-KBC-006	42.18	0.44	-1.39	-2.92	-2.51	-0.83	Intimate interpersonal interaction
DEM-KBC-012	36.04	-4.22	1.62	4.66	1.83	-0.64	Informational interaction
DEM-KBC-013	38.75	3.41	-1.44	-0.83	-2.4	-0.95	Intimate interpersonal interaction
DEM-KBC-009	27.15	-5.85	0.69	-9.27	-3.92	0.38	Informational interaction
DEM-KBD-002	38.14	-0.17	-0.97	1.11	-3.92	-3.5	Intimate interpersonal interaction
DEM-KBD-003	36.53	-5.43	-5.96	2.87	7.27	-3.5	Informational interaction
DEM-KBD-004	30.53	-0.31	-1.41	-1.4	-1.88	-0.84	Informational interaction
DEM-KBC-011	36.81	-0.28	-4.41	1.27	-2.35	-0.91	Informational interaction
DEM-KBD-006	35.8	-2.99	-0.78	0.13	-3.56	-1.76	Informational interaction
DEM-KBD-001	28.38	-1.44	-2.71	-1.54	-2.5	-2.4	Informational interaction
DEM-KBD-008	40.27	-4.51	-2.95	-3.38	-3.58	-3.5	Intimate interpersonal interaction
DEM-KBD-009	31.45	-4.57	1.05	-9.27	-3.92	-1.12	Informational interaction
DEM-KBD-010	49.22	-3.03	-7.3	10.35	4.05	4.43	Intimate interpersonal interaction
DEM-KBD-005	24.82	-2.36	-3.18	-0.93	-2.15	-0.45	Informational interaction
DEM-KBD-007	24.09	-0.82	-2.1	-3.11	-1.6	-1.02	Informational interaction
DEM-KBD-013	18.43	10.14	1.16	-0.43	-3.92	-3.5	Imaginative narrative
DEM-KBD-014	30.93	-1.22	0.23	2.1	-2.36	-0.88	Informational interaction
DEM-KBD-011	34.52	-2.7	-0.78	1.02	-2.41	-0.21	Informational interaction
DEM-KBD-016	34.23	-2.28	-1.13	5.56	-1.52	-0.52	Informational interaction
DEM-KBD-012	31.93	-3.16	-1.66	2.76	-1.83	0.41	Informational interaction
DEM-KBD-018	24.96	0.77	0.00999999999999979	2.74	-3.62	3	Informational interaction
DEM-KBD-019	35.64	-2.33	-3.49	-2.32	-3.08	1.81	Informational interaction
DEM-KBD-015	30.91	-3.55	0.0600000000000001	0.43	-2.41	-0.21	Informational interaction
DEM-KBD-021	32.14	-2.66	-0.650000000000001	1.55	-2.44	-0.81	Informational interaction
DEM-KBD-017	32.01	-3	-1.47	0.29	-2.49	-0.62	Informational interaction
DEM-KBD-023	25.32	6.12	1.32	-4.82	0.9	-2.24	Informational interaction
DEM-KBD-024	27.06	0.25	-1.1	-1.55	-1.94	-1.07	Informational interaction
DEM-KBD-025	32.43	-1.87	-1.21	-2.06	-3.08	-0.6	Informational interaction
DEM-KBH-001	36.74	0.87	-1.62	1.52	-0.21	-1.69	Informational interaction
DEM-KBH-002	27.48	-1.69	-3.55	-0.55	-2.95	-1.4	Informational interaction
DEM-KBD-020	36.1	-3.62	-0.69	0.99	-1.95	0.07	Informational interaction
DEM-KBH-004	31.94	0.0300000000000001	-2.63	1.53	-1.57	-0.21	Informational interaction
DEM-KBH-005	33.73	-1.96	0.58	6.47	2.57	-0.64	Informational interaction
DEM-KBH-006	15.75	-3.02	-2.76	10.32	-0.7	0.53	Involved persuasion
DEM-KBD-022	23.67	0.0399999999999999	-1.33	-1.85	-2.73	2.6	Informational interaction
DEM-KBH-008	36.79	1.99	0.560000000000001	-1.26	-0.15	-1.62	Informational interaction
DEM-KBH-009	28.75	-5.85	-7.61	-5.76	-3.71	-2.85	Informational interaction
DEM-KBH-010	30.71	-1.65	-4.92	-6.02	-3.92	-2.02	Informational interaction
DEM-KBH-011	19.92	-1.33	-2.61	-3.34	-1.55	-0.73	Informational interaction
DEM-KBH-003	34.58	0.56	-6.64	-5.35	-3.02	-0.64	Informational interaction
DEM-KBH-013	36.43	-0.209999999999999	-2.84	-2.99	1.99	-3.5	Informational interaction
DEM-KBH-014	40.35	-3.22	-0.42	4.95	-3.36	-2.62	Intimate interpersonal interaction
DEM-KBH-015	24.78	1.77	-0.72	-1.28	-2.83	-0.0399999999999998	Informational interaction
DEM-KBH-007	34.55	-1.46	-1.65	2.4	-1.73	-1.9	Informational interaction
DEM-KBH-017	36.68	-2.67	-2.75	-0.0800000000000001	-1.86	-0.52	Informational interaction
DEM-KBH-018	33.95	-2.45	0.33	-2.07	-1.32	-0.53	Informational interaction
DEM-KBH-019	32.84	-2.66	-4.62	-0.0700000000000001	-2.56	-0.54	Informational interaction
DEM-KBH-012	23.71	-2.21	-3.41	-0.33	-2.93	-1.5	Informational interaction
DEM-KBH-021	34.29	3.51	-1.09	-0.27	-1.15	-0.01	Informational interaction
DEM-KBH-022	30.44	-2.1	-2.28	3.42	-1.92	-1.85	Informational interaction
DEM-KBH-023	38.83	-5	-0.76	-1.78	-2.29	0.34	Intimate interpersonal interaction
DEM-KBH-016	29.89	-2.34	-0.99	-0.01	-1.79	0.16	Informational interaction
DEM-KBH-025	32.73	-2.56	-4.54	-2.12	0.22	1.59	Informational interaction
DEM-KBH-026	29.35	-3.33	0.5	0.25	-3.16	-1.26	Informational interaction
DEM-KBH-027	34.12	-4.05	-1.94	-2.23	-3.14	0.24	Informational interaction
DEM-KBH-028	29.67	-1.99	0	1.21	-1.35	-0.4	Informational interaction
DEM-KBH-029	28.93	-2.95	1.38	-2.02	-3.92	-2.19	Informational interaction
DEM-KBH-030	20.37	1.33	1.34	0.22	-2.26	-2.45	Informational interaction
DEM-KBH-031	52.63	1.22	-2.93	4.55	-3.05	1.26	Intimate interpersonal interaction
DEM-KBH-020	30.52	-2.09	-2.76	-0.95	-1.41	-1.86	Informational interaction
DEM-KBH-033	28.49	-4.98	-4.16	-0.380000000000001	1.99	0.96	Informational interaction
DEM-KBH-034	55.48	0.51	-3.09	0.0199999999999996	-3.92	1.81	Intimate interpersonal interaction
DEM-KBH-035	42.33	-1.72	-3.95	4.03	-1.36	-0.81	Intimate interpersonal interaction
DEM-KBH-024	32.22	-3.52	-4.47	3.87	-3.35	-1	Informational interaction
DEM-KBH-037	50.32	-3.64	-1.11	0.68	-3.92	-1.78	Intimate interpersonal interaction
DEM-KBH-038	33.65	-5.93	3.7	-0.359999999999999	-3.92	-1.16	Informational interaction
DEM-KBH-039	27.45	-3.25	-4.11	-1.18	-3.03	-3.5	Informational interaction
DEM-KBH-040	27.46	-6.45	-2.86	1.58	-3.92	-2.16	Informational interaction
DEM-KBH-041	31.26	-4.42	-3.41	-1.09	-1.98	-1.42	Informational interaction
DEM-KBH-042	24.02	-4.8	-10.42	3.78	-1.94	-3.5	Informational interaction
DEM-KBH-043	41.66	-6.7	1.03	3.2	-3.92	-3.5	Intimate interpersonal interaction
DEM-KBH-044	42.23	-7.38	4.49	0.9	4.37	-2.21	Intimate interpersonal interaction
DEM-KBH-045	35.36	-4.85	-1.54	0.8	-2.23	-2.21	Informational interaction
DEM-KBH-032	45.82	-6.49	-6.8	5.03	-3.53	2.33	Intimate interpersonal interaction
DEM-KBH-047	32.85	-6	-6.79	5.81	-3.92	-2.04	Informational interaction
DEM-KBH-048	20.2	-4.34	-6.5	-3.25	-2.47	-3.5	Informational interaction
DEM-KBH-049	38.26	-5.88	-4.2	-3.93	-3.92	7.66	Intimate interpersonal interaction
DEM-KBH-050	33.29	-0.0999999999999998	-11.06	-4.13	-3.92	-3.5	Informational interaction
DEM-KBH-051	35.85	-4.81	-3.75	-0.11	-2.85	-1.26	Informational interaction
DEM-KBH-052	18.07	-2.6	-7.5	-6.98	-3.92	-3.5	Informational interaction
DEM-KBH-053	29.72	-2.56	-4.33	-0.6	-1.76	-1.83	Informational interaction
DEM-KBH-054	23.82	-1.68	2.17	0.14	-2.11	-2.35	Informational interaction
DEM-KBH-036	31.85	-5.05	-1.25	4.79	-3.92	0.89	Informational interaction
DEM-KBH-056	36.96	4.19	0.0600000000000005	0.58	-0.17	-1.21	Informational interaction
DEM-KBH-057	19.93	3.12	1.62	0.54	-3.92	9.9	Informational interaction
DEM-KBH-058	21.46	0.34	-0.14	-3.42	-0.92	-1.12	Informational interaction
DEM-KBH-059	23.87	-3.95	-1.05	5.71	-0.05	-1.93	Informational interaction
DEM-KBH-060	26.64	-0.51	5.18	3.86	3.8	0.74	Informational interaction
DEM-KBH-061	29.1	-4.83	-1.43	2.88	-3.92	-2.35	Informational interaction
DEM-KBH-046	22.7	-1.43	3.73	-6.61	-0.53	-3.5	Informational interaction
DEM-KBH-063	29.62	-3.02	-0.95	-1.59	-3.12	-0.52	Informational interaction
DEM-KBJ-001	29.47	0.09	-0.77	-0.5	-0.15	-0.17	Informational interaction
DEM-KBH-055	29.62	-0.45	-0.95	-1.34	-1.22	-1.41	Informational interaction
DEM-KBJ-003	12.01	6.99	-6.9	-9.27	-3.92	3.86	Imaginative narrative
DEM-KBJ-004	26.85	-2.19	0.78	-5.49	-3.92	2.17	Informational interaction
DEM-KBJ-005	17.85	0.999999999999999	-9.14	7.06	-2.42	1.22	Informational interaction
DEM-KBJ-006	37.75	-3.38	-1.6	9.15	-1.06	-0.93	Informational interaction
DEM-KBJ-007	30.32	-5.47	-6.94	3.98	-3.5	-2.83	Informational interaction
DEM-KBJ-008	27.77	-0.96	-1.55	0.14	-2.44	-2.33	Informational interaction
DEM-KBJ-009	41.12	-5.05	-1.55	-2.9	0.54	-1.19	Intimate interpersonal interaction
DEM-KBJ-010	17.69	-7.38	-0.16	-9.27	-3.92	-3.5	Informational interaction
DEM-KBJ-011	28.54	-0.23	0.23	-0.94	0.88	0.86	Informational interaction
DEM-KBJ-012	21.71	-5.35	-3.87	5.86	-3.92	-1.21	Informational interaction
DEM-KBJ-013	33.31	-1.38	-2.42	5.39	0.0399999999999997	-2.28	Informational interaction
DEM-KBJ-014	13.92	-2.28	-4.54	-2.94	-2.11	2.24	Involved persuasion
DEM-KBH-062	29.05	-3.53	-4.37	3.51	-1.74	-1.59	Informational interaction
DEM-KBJ-016	27.2	-1.95	-2.75	0.28	-2.55	-0.15	Informational interaction
DEM-KBJ-017	28.09	-0.16	0.649999999999999	-3.27	-1.86	0.48	Informational interaction
DEM-KBJ-018	45.3	-0.09	0.0799999999999992	4.92	-3.32	2.64	Intimate interpersonal interaction
DEM-KBJ-019	38.96	-3.85	-5.57	3.27	1.99	1.53	Intimate interpersonal interaction
DEM-KBJ-020	21.19	-6.91	0.12	16.2	-3.92	-1	Informational interaction
DEM-KBJ-002	38.7	1.08	-4.04	-5.5	-1.1	0.55	Intimate interpersonal interaction
DEM-KBJ-022	35.18	-3.69	1.1	5.31	-3.92	3.86	Informational interaction
DEM-KBJ-023	33.69	-1.43	-10.33	-0.00999999999999979	-3.92	2.22	Informational interaction
DEM-KBJ-024	30.76	-1.19	-4.6	-1.63	-2.97	-0.71	Informational interaction
DEM-KBJ-025	40.42	-3.97	-10.01	-1.82	-3.92	0.55	Intimate interpersonal interaction
DEM-KBJ-026	27.09	-1.03	-0.91	0.67	-3.92	3.72	Informational interaction
DEM-KBP-001	39.46	-0.63	0.92	-9.27	-3.92	-3.5	Intimate interpersonal interaction
DEM-KBJ-015	34.33	1.18	-0.93	-2.65	-2.59	0.59	Informational interaction
DEM-KBP-003	27.31	-1.29	-2.1	-1.37	-2.06	-0.2	Informational interaction
DEM-KBP-004	33.48	2.14	-1.48	1.23	-2.53	-1.57	Informational interaction
DEM-KBJ-021	29.63	-2.88	-3.05	1.07	-1.73	0.29	Informational interaction
DEM-KBP-002	37.6	-2.94	-1.51	2.43	-2.51	-0.9	Informational interaction
DEM-KBP-007	27.23	0.27	-3.88	4.26	-3.92	-3.5	Informational interaction
DEM-KBP-005	28.84	-1.77	-2.57	1.45	-2.5	-0.31	Informational interaction
DEM-KBP-009	24.73	-2.14	-3.08	-1.45	-1.77	-0.41	Informational interaction
DEM-KBP-010	39.58	-0.0099999999999999	-2.15	-2.7	-3.92	-2.07	Intimate interpersonal interaction
DEM-KBP-011	31.46	-1.57	-4.8	2.43	1.91	-1.17	Informational interaction
DEM-KBP-012	7.41	-0.950000000000001	-7.11	-9.27	-3.92	-3.5	Situated reportage
DEM-KBP-013	41.19	2.42	-1.88	-5.02	-3.92	-1.95	Intimate interpersonal interaction
DEM-KBP-014	36.22	-4.33	-2.66	-4.26	-0.0899999999999999	0.16	Informational interaction
DEM-KBP-006	34.06	-2.18	-2.51	-0.77	-1.41	-0.74	Informational interaction
DEM-KBP-008	34.14	-0.78	-2.25	-0.47	-2.59	-0.91	Informational interaction
DEM-KBP-015	30.06	-1.67	-1.62	1.63	-2.72	-0.02	Informational interaction
DEM-KBW-003	28.56	-3.33	-6.43	-3.29	-1.04	-1.24	Informational interaction
DEM-KBW-004	30.96	-2.24	-1.74	-0.0399999999999999	-2.4	-0.83	Informational interaction
DEM-KBW-005	37.51	-1.17	-2.67	3.83	-1.74	-0.12	Informational interaction
DEM-KBW-001	35.43	-2.57	-3.16	0.6	-1.98	-0.98	Informational interaction
DEM-KBW-007	35.32	-2.46	-1.9	-1.05	-2.7	0.55	Informational interaction
DEM-KBW-002	36.96	-3.15	-2.61	1.32	-2.21	-1	Informational interaction
DEM-KBW-009	34.29	-3.61	-1.42	2.78	-3.26	-1.17	Informational interaction
DEM-KBW-006	40.23	-5.71	-5.16	-1.38	-2.99	3.97	Intimate interpersonal interaction
DEM-KBW-011	35.13	-1.28	-2.03	5.54	-1.76	-0.55	Informational interaction
DEM-KBW-012	35.71	-2.8	-4.63	-0.41	-2.85	-0.66	Informational interaction
DEM-KBW-013	34.71	-2.92	-4.88	-1.43	-2.65	-3.5	Informational interaction
DEM-KBW-014	38.42	-3.61	-2.69	2.06	-1.89	0.69	Intimate interpersonal interaction
DEM-KBW-008	40.46	-4.21	-0.82	1.06	-1.55	5.07	Intimate interpersonal interaction
DEM-KBW-016	29.11	-3.75	-1.82	1.07	-2.37	-0.7	Informational interaction
DEM-KBW-010	24.46	-3.71	-2.09	3.62	-2.83	-0.0399999999999998	Informational interaction
DEM-KBW-018	42.09	-3.77	-4.68	2.17	-2.33	-1.4	Intimate interpersonal interaction
DEM-KBW-019	32.62	-6.56	-6.38	0.96	-2.95	-1.38	Informational interaction
DEM-KBW-020	34.99	-3.33	-2.06	-0.58	-2.84	-2.09	Informational interaction
DEM-KBW-015	33.61	-2.43	-1.42	1.33	-1.92	-1.07	Informational interaction
DEM-KBW-017	37.4	-2.08	-1.88	1.32	-1.6	-1.02	Informational interaction
DEM-KBW-023	23.01	-2.01	-9.37	1.4	-3.33	-0.69	Informational interaction
DEM-KBW-024	32.08	-1.82	-0.35	-1	-2.66	-0.93	Informational interaction
DEM-KBW-021	31.89	-1.23	-2.45	1.02	-2.15	1.04	Informational interaction
DEM-KBW-022	32.92	-1	-3.54	0.39	-1.82	1.17	Informational interaction
DEM-KBW-027	25.06	-5.87	-9.67	3.03	4.81	-0.31	Informational interaction
