Filename	Dimension1	Dimension2	Dimension3	Dimension4	Dimension5	Dimension6	Closest Text Type
FIC-AB9-002	1.69	6.35	0.83	1.66	-0.44	-0.91	Imaginative narrative
FIC-AB9-003	-3.26	7.78	0.6	1.57	-0.64	-0.98	General narrative exposition
FIC-AB9-004	0.830000000000001	7.91	1.17	1.91	-0.6	-1.43	Imaginative narrative
FIC-AB9-005	6.81	4.99	-2	2.84	-1.1	-0.4	Imaginative narrative
FIC-AB9-006	4.89	4.53	-1.75	1.33	-1.24	-0.84	Imaginative narrative
FIC-AB9-007	2.33	3.2	0.6	3.66	-0.0899999999999999	-0.4	Involved persuasion
FIC-AB9-008	3.27	6.65	-0.96	3.68	-0.66	-0.35	Imaginative narrative
FIC-AC2-001	-10.24	3.97	3.85	1.28	0.39	-0.83	General narrative exposition
FIC-AC2-002	2.05	0.82	0.82	3.1	-0.92	-0.53	Involved persuasion
FIC-AC2-003	-4.99	9.04	0.74	4.59	-1.6	-0.84	General narrative exposition
FIC-AC2-004	-10.36	3.79	3.44	2.7	0.32	-0.49	General narrative exposition
FIC-AC2-005	-3.83	4.71	1.7	3.99	-1.79	2.07	General narrative exposition
FIC-AC2-006	8.65	2.9	0.84	3.22	-1.49	-1.43	Involved persuasion
FIC-AC2-007	2.25	3.89	4.75	2.96	-0.74	-0.34	Involved persuasion
FIC-AC2-008	-7.32	4.72	3.71	2.98	2.66	-0.6	General narrative exposition
FIC-AC2-009	-12.26	3.13	4	1.93	-0.74	-1.64	General narrative exposition
FIC-AC2-010	-2.33	5.11	2.96	1.59	-1.49	-1.91	General narrative exposition
FIC-BMW-001	-3.88	6.68	-0.12	0.18	-0.96	-1.69	General narrative exposition
FIC-BMW-002	5.54	8.88	-1.75	1.07	-0.99	-1.14	Imaginative narrative
FIC-BMW-003	3.22	6.17	-0.72	2.02	-0.21	-1.59	Imaginative narrative
FIC-BMW-004	11.34	5.87	-1.72	4.78	-1.34	-1.74	Imaginative narrative
FIC-BMW-005	-3.36	6.64	1.14	1.44	-1.79	-2.48	General narrative exposition
FIC-BMW-006	5.64	5.68	-1.88	3.56	-1.7	-1.92	Imaginative narrative
FIC-BMW-007	2.72	4.36	1.7	3.4	0.32	-2.5	Involved persuasion
FIC-BMW-008	-0.51	9.29	-2.08	1.82	-0.92	-1.26	Imaginative narrative
FIC-BMW-009	-1.97	4.69	1.8	0.85	-0.62	-1.67	General narrative exposition
FIC-BPA-001	-16.2	3.06	-0.47	-5.38	-0.27	-2.67	General narrative exposition
FIC-BPA-002	-7.06	4.02	-0.63	-1.7	0.89	-1.7	General narrative exposition
FIC-BPA-003	-8.69	8.56	-0.2	-2.2	-0.33	-1.89	General narrative exposition
FIC-BPA-004	-21.7	1.19	-3.18	-5.84	0.23	-2.93	Learned exposition
FIC-BPA-005	-8.4	7.49	-3.56	-5.34	-2.17	-3.12	General narrative exposition
FIC-BPA-006	-4.27	8.01	-4.59	-0.26	-1.5	-2.45	Imaginative narrative
FIC-BPA-007	-8.33	9.79	-2.02	-0.37	-2.16	-3.12	General narrative exposition
FIC-BPA-008	-9.05	5.61	0.8	-2.82	-0.92	-1.45	General narrative exposition
