Filename	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``	
HOC-MY	4870	4.47	218	0	0	0.33	3.00	0.16	0.16	5.34	0.43	0.14	0.41	0.16	2.14	1.33	0.06	0.68	0.35	0.76	0.53	0	8.09	0.33	1.23	0.33	1.99	0.12	0.55	0.02	1.38	0.18	5.65	0	0.47	21.13	1.58	0.23	0.02	0.70	9.34	1.09	0.47	0.70	0.23	1.07	0.64	0	1.13	0.33	4.87	0.45	0.80	0	0.33	0.04	0.43	0.23	2.16	0.12	2.18	0.10	0.06	5.24	1.05	3.04	3.04	8.07	0.23	0.64	0	1.38	2.77	0.10	0.84	1.38	0	0.60	0.04	0.16	1.23	0.31	0.66	0.02	0.14	0.57	0.02	0.08	0.33	0.25	0.10	0	0.16	0.33	0.10	0.51	0.37	
HOC-MZ	5195	4.26	209	0	0	0.54	3.18	0.25	0.25	6.08	0.50	0.17	0.48	0.31	2.44	0.54	0.08	0.58	0.13	0.77	0.65	0.06	6.66	0.25	1.27	0.21	4.02	0.06	0.19	0.06	1.42	0.04	5.27	0	0.64	19.17	1.19	0.12	0	0.77	8.47	1.42	0.23	0.65	0.56	1.15	0.85	0.02	1.27	0.56	3.95	0.23	0.83	0	0.19	0.08	0.56	0.19	2.08	0.21	4.62	0.27	0.08	6.47	1.67	2.04	2.18	8.91	0.17	0.89	0.02	2.00	2.68	0.08	1.81	1.17	0.04	0.52	0	0.12	1.89	0.17	0.96	0.04	0.10	0.56	0.02	0.21	0.42	0.52	0.13	0.08	0.08	0.19	0.06	0.29	0.60	
HOC-NA	4286	4.56	226	0	0	0.63	4.18	0.30	0.33	5.58	0.63	0.35	0.58	0.19	2.12	0.63	0.12	0.42	0.28	0.65	0.72	0.02	7.28	0.33	1.10	0.28	3.59	0.09	0.51	0.07	1.61	0.19	6.79	0	0.75	19.18	1.82	0.09	0	0.82	8.75	1.80	0.19	1.12	0.49	1.07	1.03	0	1.14	0.49	4.69	0.12	0.58	0	0.21	0.12	0.44	0.56	2.54	0.05	1.89	0.21	0.14	6.32	2.26	1.94	2.40	6.35	0.14	1.03	0	1.66	2.38	0.09	1.35	1.14	0	0.65	0.02	0.09	1.98	0.26	1.00	0.05	0.16	0.58	0	0.09	0.21	0.30	0.23	0	0.16	0.28	0.14	0.21	0.63	
HOC-NB	7498	4.55	208	0	0.01	0.45	3.48	0.24	0.27	5.29	0.63	0.21	0.71	0.19	1.83	0.71	0.05	0.21	0.21	0.89	0.63	0.12	8.74	0.32	0.77	0.19	1.69	0.01	0.15	0.04	1.23	0.13	5.89	0	0.29	21.90	2.28	0.29	0	0.92	9.47	1.44	0.31	0.81	0.37	0.95	1.07	0.01	1.29	0.25	3.95	0.19	0.45	0.03	0.21	0.08	0.64	0.29	2.16	0.29	3.25	0.13	0.04	5.23	2.08	1.72	2.57	7.46	0.23	0.88	0.01	1.53	2.32	0.17	0.92	1.08	0.01	0.83	0.01	0.16	1.73	0.16	0.49	0.07	0.12	0.48	0	0.09	0.44	0.21	0.11	0.03	0.16	0.39	0.08	0.29	0.48	
HOC-NC	2905	4.60	214	0	0.07	0.28	3.17	0.14	0.14	6.09	0.72	0.14	0.45	0.38	2.41	0.59	0	0.34	0.14	1.14	0.45	0.03	7.57	0.28	1.24	0.24	2.07	0.03	0.52	0	1.41	0.21	5.23	0	0.41	21.93	2.41	0	0	0.72	8.57	2.27	0.34	0.62	0.48	1.24	1.10	0.03	1.14	0.45	4.30	0.28	0.52	0.03	0.21	0.07	0.28	0.55	1.96	0.31	2.62	0.31	0	5.37	1.69	2.10	2.55	8.43	0.17	0.52	0	1.55	2.79	0.10	1.14	1.10	0	1.03	0.07	0	1.48	0.28	0.62	0.07	0.10	0.62	0.07	0.14	0.48	0.41	0.17	0	0.10	0.17	0.03	0.28	0.28	
HOC-ND	4013	4.67	228	0	0.02	0.57	4.51	0.20	0.20	5.61	0.55	0.17	0.55	0.02	1.87	0.35	0.05	0.52	0.35	0.67	0.52	0	9.27	0.20	0.95	0.15	2.69	0.10	0.27	0.10	1.32	0.07	6.90	0.10	0.37	23.27	2.47	0.17	0	1.00	10.57	1.07	0.37	0.70	0.37	0.85	0.62	0	1.47	0.32	3.41	0.12	0.27	0	0.20	0.07	0.52	0.25	1.97	0.20	1.69	0.25	0.02	4.91	0.97	2.62	2.19	7.55	0.22	0.65	0.02	1.22	2.04	0.15	0.92	0.85	0.05	0.52	0	0.10	1.45	0.10	0.65	0.02	0.07	0.32	0	0.12	0.47	0.15	0.10	0.07	0.12	0.17	0.10	0.47	0.57	
HOC-NE	7381	4.39	220	0.26	0	0.22	3.08	0.31	0.34	5.13	0.43	0.22	0.47	0.11	1.95	1.12	0.01	0.46	0.20	0.84	0.69	0.04	7.80	0.18	1.23	0.19	3.40	0.12	0.58	0	1.64	0.08	6.54	0	0.56	20.69	2.32	0.16	0	0.95	9.58	1.25	0.34	0.61	0.26	0.76	1.34	0.01	1.10	0.35	3.89	0.27	0.60	0	0.20	0.05	0.20	0.41	3.05	0.14	1.75	0.20	0.04	6.65	1.08	2.51	2.05	6.33	0.19	0.89	0.01	1.42	1.80	0.04	1.00	0.84	0.04	0.43	0	0.08	1.54	0.20	0.34	0.09	0.09	0.42	0	0.18	0.33	0.30	0.14	0.07	0.15	0.37	0.15	0.34	0.20	
HOC-NF	4940	4.44	200	0.06	0	0.36	3.89	0.18	0.22	5.49	0.30	0.16	0.59	0.24	2.47	1.17	0.06	0.69	0.26	1.01	0.57	0.06	7.41	0.28	1.01	0.22	3.97	0	0.45	0.02	1.70	0.06	5.93	0	0.34	18.24	2.43	0.10	0	0.91	9.78	1.96	0.32	0.55	0.16	1.26	0.77	0	1.38	0.34	4.15	0.47	1.66	0	0.32	0.06	0.65	0.40	1.98	0.18	1.50	0.16	0.08	4.55	1.46	1.92	2.33	8.48	0.20	0.83	0	1.78	2.91	0.06	1.17	0.97	0.02	0.45	0.08	0.14	1.64	0.14	0.59	0.10	0.12	0.30	0	0.12	0.20	0.30	0.06	0.06	0.14	0.32	0.10	0.36	0.36	
HOC-NG	6817	4.37	208	0.03	0	0.66	3.27	0.53	0.54	5.31	0.70	0.34	0.47	0.21	2.48	0.85	0.09	0.69	0.32	0.76	0.57	0.03	8.05	0.21	0.89	0.15	4.72	0.04	0.37	0.01	1.75	0.12	4.74	0	0.35	17.65	2.38	0.13	0.01	0.54	9.15	1.39	0.22	0.73	0.26	1.13	0.95	0.03	1.13	0.57	4.69	0.25	1.55	0.01	0.31	0.03	0.28	0.41	2.11	0.21	2.51	0.19	0.03	5.28	2.33	2.38	2.71	7.58	0.18	0.97	0.06	1.53	2.42	0.06	1.47	0.79	0.01	1.10	0.01	0.19	1.79	0.38	0.60	0.07	0.13	0.63	0.03	0.13	0.41	0.34	0.07	0.09	0.15	0.54	0.09	0.22	0.65	
HOC-NH	6272	4.56	232	0	0	0.41	2.79	0.03	0.03	5.72	0.48	0.18	0.24	0.10	2.02	0.73	0.02	0.57	0.27	0.99	0.81	0.05	7.86	0.22	0.75	0.27	3.64	0	0.30	0	1.39	0.14	6.31	0	0.64	20.14	2.79	0.13	0	0.73	9.42	1.45	0.37	0.62	0.24	0.96	1.71	0.02	1.71	0.32	3.78	0.32	0.67	0	0.30	0.14	0.46	0.29	2.68	0.14	1.02	0.27	0.02	6.76	0.96	2.10	2.55	6.89	0.26	0.81	0.02	1.48	2.25	0.14	1.00	1.18	0	0.70	0.05	0.05	1.40	0.18	0.49	0.02	0.11	0.75	0	0.10	0.56	0.32	0.10	0.02	0.18	0.22	0.06	0.33	0.45	
