Filename	Tokens	AWL	TTR	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``	
JOC-15B-08N	834	4.52	176	0	0.24	3.84	0	0	7.43	0	0.36	0.24	0.84	1.68	0.72	0.24	0.24	0.96	2.16	0	0.24	5.64	0.36	1.44	0.72	2.64	0	0.48	0	2.16	0	5.28	0	0.84	24.58	1.44	0	0	1.92	9.11	1.80	0.36	0	0.48	1.80	0.48	0	1.44	0.12	3.48	0	0.24	0	0.24	0	0.60	0	2.16	0.36	1.32	0	0	3.72	1.08	1.44	1.68	9.71	0.36	0.36	0	1.80	2.52	0	0.60	0.84	0	0.72	0	0	2.28	0	0.24	0	0.12	0.12	0	0	0.36	0.24	0.12	0	0	0.48	0	0	0.24	
JOC-15B-09N	20880	4.43	183	0	0.40	4.57	0.08	0.08	6.79	0.09	0.41	0.40	0.41	1.97	0.64	0.07	0.58	0.78	2.19	0.57	0.02	7.31	0.34	0.64	0.41	5.45	0.03	0.23	0.02	1.71	0.08	4.82	0.01	1.13	18.93	3.49	0.08	0.01	0.54	8.02	1.53	0.09	0.98	0.65	1.95	0.61	0.02	0.92	0.19	3.37	0.11	0.80	0	0.16	0.14	0.66	0.17	1.84	0.25	1.94	0.08	0.01	5.39	2.01	1.13	1.73	8.82	0.47	0.59	0	2.08	3.37	0.15	0.71	1.19	0.02	0.17	0.01	0.07	3.31	0.05	0.82	0.09	0.06	0.24	0	0.07	0.76	0.69	0.17	0.11	0.07	0.45	0.05	0.17	0.36	
JOC-15B-10N	19612	4.46	190	0	0.33	4.27	0.03	0.03	6.56	0.05	0.42	0.48	0.28	2.07	0.58	0.04	0.33	0.73	1.44	0.40	0.03	7.40	0.33	0.69	0.41	4.06	0.01	0.27	0	1.78	0.07	4.41	0	0.98	24.40	2.08	0.07	0.01	0.64	8.07	1.48	0.15	0.72	0.35	1.53	0.43	0.01	1.24	0.16	3.08	0.06	0.60	0	0.18	0.15	0.85	0.29	1.88	0.15	1.91	0.08	0.02	4.98	2.78	1.22	2.34	7.89	0.27	0.92	0	1.62	2.47	0.17	0.48	1.37	0.03	0.46	0.02	0.07	3.29	0.23	0.93	0.05	0.07	0.27	0.03	0.09	0.62	0.56	0.15	0.08	0.06	0.62	0.05	0.14	0.31	
JOC-15B-11N	18468	4.49	189	0.02	0.57	4.42	0.06	0.06	6.64	0.06	0.52	0.49	0.53	2.00	0.42	0.08	0.42	0.64	1.98	0.61	0.04	7.14	0.27	0.73	0.25	4.89	0.01	0.36	0.03	1.99	0.05	5.01	0	0.93	20.45	3.08	0.08	0.03	0.50	8.72	1.53	0.13	1.01	0.35	1.78	0.47	0	0.76	0.17	3.27	0.09	0.55	0.01	0.14	0.14	0.47	0.18	1.74	0.23	2.13	0.24	0.01	5.07	3.23	0.96	2.12	7.75	0.23	0.66	0.01	2.11	2.84	0.11	0.70	1.23	0.02	0.41	0.02	0.06	3.25	0.20	0.70	0.03	0.11	0.32	0	0.05	0.60	0.69	0.14	0.08	0.02	0.42	0.10	0.12	0.61	
JOC-15B-12N	22846	4.63	207	0.02	0.29	4.33	0.01	0.01	6.64	0.04	0.27	0.53	0.40	2.28	0.75	0.07	0.46	0.83	1.22	0.45	0.08	8.10	0.22	0.91	0.36	3.48	0.01	0.34	0.02	1.57	0.03	8.32	0	0.81	21.13	2.99	0.09	0.00	0.73	8.60	1.31	0.14	0.95	0.41	1.29	0.62	0	1.01	0.18	3.07	0.11	0.47	0	0.12	0.10	0.63	0.33	2.17	0.26	1.31	0.11	0	5.55	1.33	1.56	1.61	8.12	0.28	0.37	0	1.26	2.34	0.10	0.46	0.82	0.01	0.39	0.01	0.06	2.03	0.13	0.80	0.04	0.03	0.23	0.00	0.08	0.56	0.36	0.06	0.04	0.01	0.33	0.07	0.19	0.23	
JOC-15B-13N	19758	4.59	201	0	0.33	4.33	0.04	0.04	7.18	0.05	0.45	0.51	0.40	1.99	0.48	0.08	0.41	0.72	1.03	0.51	0.06	6.63	0.34	0.86	0.45	3.99	0.02	0.24	0.04	1.66	0.03	5.63	0	0.94	22.03	2.36	0.09	0.02	0.60	8.99	1.29	0.20	0.90	0.58	1.62	0.59	0	1.73	0.15	2.83	0.10	0.57	0.02	0.07	0.14	0.55	0.40	2.06	0.30	2.80	0.13	0.01	5.20	1.99	1.45	1.66	8.61	0.20	0.53	0	1.75	3.03	0.16	0.52	0.99	0	0.23	0.01	0.10	2.94	0.16	1.12	0.03	0.10	0.20	0.02	0.09	0.47	0.64	0.14	0.04	0.04	0.33	0.06	0.18	0.32	
JOC-15B-14N	1997	4.63	196	0	0.10	4.16	0	0	6.71	0	0.30	0.50	0.35	2.50	0.90	0.15	0.10	0.55	0.95	0.35	0.15	8.31	0.35	1.05	0.55	2.35	0	0.30	0.05	0.95	0	5.51	0	0.50	22.28	2.35	0.20	0	0.75	9.51	1.45	0.15	0.75	0.35	2.10	0.55	0	1.50	0.15	2.40	0.15	0.30	0	0	0.15	0.70	0.25	2.80	0.20	3.56	0	0	4.91	2.10	2.00	1.75	8.46	0.15	0.45	0	0.60	3.66	0.10	0.15	1.20	0	0.35	0	0.25	2.65	0.10	0.60	0.10	0.10	0.25	0.10	0	0.55	0.40	0	0.05	0.05	0.30	0	0.35	0.10	
JOC-15B-15N	1555	4.58	193	0	0.32	5.40	0.39	0.39	5.47	0.06	0.32	0.58	0.26	1.54	3.54	0.06	0.13	0.77	1.80	0.32	0.06	8.94	0.19	0.71	0.32	2.51	0	0.26	0	1.22	0	6.05	0	0.51	24.76	2.83	0	0.06	0.90	11.83	1.29	0.06	0.64	0.06	1.03	0.71	0	0.90	0.06	2.83	0.06	0.13	0	0	0	0.51	0.19	2.12	0.13	0.77	0.13	0	4.31	2.25	1.09	1.99	5.66	0	0.26	0	1.29	1.93	0.06	0.39	1.41	0	0.19	0	0.19	1.67	0.19	0.32	0	0.19	0.13	0	0	0.19	0.26	0	0	0	0	0.06	0.13	0.39	
JOC-15B-16N	2462	4.59	195	0.04	0.37	4.35	0.12	0.12	6.58	0.08	0.69	0.45	0.28	1.71	1.22	0.04	0.20	0.49	1.87	0.61	0	7.19	0.41	0.77	0.49	4.63	0	0.45	0	1.79	0	4.71	0	0.77	23.31	4.02	0.12	0	1.26	9.38	1.02	0.16	0.93	0.49	0.89	0.37	0	1.62	0.12	3.13	0.08	0.45	0	0.16	0.12	0.77	0.37	1.26	0.24	1.06	0.12	0	3.49	3.05	1.71	2.92	7.15	0.12	0.32	0	1.22	2.23	0.41	0.69	1.34	0.12	0.81	0	0.12	2.84	0.32	0.53	0.04	0.12	0.45	0.04	0.12	0.45	0.45	0.04	0	0.04	0.32	0.08	0.32	0.28	
JOC-15B-17N	3198	4.86	194	0	0.31	3.94	0.13	0.13	6.25	0	0.34	0.41	0.38	1.69	0.94	0.03	0.25	0.75	1.53	0.44	0	8.82	0.25	0.63	0.41	2.85	0	1.22	0.06	1.44	0.03	6.38	0	1.13	19.86	4.16	0.19	0	0.53	8.66	2.28	0.09	0.41	0.13	1.34	0.63	0	1.44	0.03	2.50	0.16	0.19	0	0.13	0.22	0.53	0.50	3.03	0.25	0.84	0.16	0	5.91	2.63	2.56	2.19	6.97	0.41	0.06	0	0.75	2.44	0.09	0.63	1.38	0	0.28	0.06	0.25	2.94	0.13	0.75	0.03	0.03	0.25	0	0.06	0.94	0.59	0	0.03	0.03	0.28	0.06	0.22	0.22	
