Filename	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``	
ACA-A6U-002	2801	4.91	228	0	0.07	0.86	6.03	0.75	0.79	5.71	1.04	0.11	0.25	0.04	1.14	2.89	0.14	0	0.21	0.71	0.18	0	11.85	0.21	0.68	0.25	0.18	0.14	0.89	0	1.21	0	9.82	0.32	0	28.31	3.07	0.29	0	1.00	13.46	1.07	0.54	0.14	1.82	0.18	0.04	0.04	0.39	0	2.25	0.07	0.04	0	0.11	0	0.07	0.36	1.00	0.04	3.25	0.04	0	1.18	2.00	1.29	3.28	4.21	0.46	0.29	0	0.25	1.11	0.29	0	0.57	0.14	1.11	0.14	0.14	0.71	0.04	0.18	0.04	0.04	0.18	0	0	0.14	0.07	0	0.14	0.07	0.14	0.29	0.14	1.04	
ACA-A6U-003	5180	4.92	222	0	0	0.35	8.30	0.50	0.50	4.19	1.12	0.27	0.62	0.19	2.08	1.54	0.10	0.08	0.56	0.83	0.37	0.02	9.92	0.21	0.56	0.23	0.27	0.15	0.60	0	1.60	0	9.21	0.17	0.08	27.03	2.57	0.19	0	1.08	13.75	0.68	0.29	0.35	1.04	0.62	0.19	0	0.68	0.10	3.38	0.19	0	0.19	0.17	0.04	0.17	0.33	1.02	0.06	3.30	0.06	0	1.70	1.49	1.25	2.99	4.56	0.62	0.17	0.02	0.46	1.62	0.17	0	1.08	0.10	0.79	0.15	0.17	0.64	0.06	0.42	0.10	0.17	0.29	0	0.06	0.21	0.08	0	0.10	0	0.29	0.12	0.15	0.41	
ACA-A6U-004	5419	5.00	225	0.02	0.02	1.07	4.76	0.81	0.79	3.67	2.14	0.07	0.96	0.06	1.53	1.16	0.09	0.28	0.50	1.14	0.83	0.04	11.37	0.31	0.68	0.24	0.52	0.41	0.17	0.02	1.90	0.04	8.80	0.02	0.07	21.63	3.84	0.22	0.04	0.98	13.60	2.20	0.28	0.42	1.35	0.87	0.33	0.02	0.55	0.07	3.58	0.11	0.13	0	0.17	0.04	0.33	0.35	1.83	0.33	0.94	0.04	0	3.08	0.79	1.64	2.40	5.76	0.72	0.24	0.07	0.98	2.34	0.09	0.18	0.74	0.13	0.35	0.26	0.20	0.98	0.09	0.63	0.18	0.09	0.41	0	0.09	0.07	0.13	0	0.09	0.02	0.13	0.37	0.28	1.51	
ACA-A6U-005	3251	5.30	225	0.03	0	0.43	4.28	0.86	0.86	4.71	0.71	0.12	0.34	0	2.15	1.41	0.15	0.09	0.77	1.26	0.34	0	9.57	0.40	0.65	0.12	0.62	0.46	0.28	0	1.57	0	8.55	0.06	0	26.15	3.41	0.34	0	1.97	13.41	0.62	0.09	0.34	1.32	0.46	0.15	0	0.80	0	3.29	0.03	0.03	0	0.03	0.03	0.49	0.49	1.02	0.22	2.28	0.18	0	1.69	3.60	2.00	2.49	3.91	0.46	0.28	0	0.62	1.26	0.18	0	0.89	0.03	0.55	0.18	0.22	0.92	0.09	0.77	0.12	0.09	0.34	0	0	0.25	0.15	0.06	0.12	0	0.22	0.18	0.25	0.86	
ACA-A6U-006	6022	5.27	204	0.03	0.05	0.91	4.65	0.71	0.71	3.92	0.63	0.07	0.85	0.15	2.13	0.90	0.05	0.15	0.48	0.93	0.35	0.03	12.35	0.23	0.40	0.23	0.35	0.12	0.55	0	1.41	0.03	8.27	0	0.07	24.48	4.80	0.08	0	1.11	14.28	1.79	0.20	0.28	1.13	0.68	0.08	0	0.56	0.03	2.49	0.07	0.03	0	0.18	0.08	0.20	0.38	1.00	0.17	2.01	0.03	0	1.61	1.99	0.88	2.52	5.65	1.35	0.32	0.05	0.42	1.61	0.15	0	0.86	0.12	0.68	0.33	0.07	1.01	0.05	0.71	0.22	0.27	0.40	0.02	0.05	0.08	0.05	0.05	0.18	0.03	0.56	0.20	0.18	1.06	
ACA-ACJ-001	18866	4.93	197	0	0	0.56	4.71	0.77	0.77	3.20	0.74	0.10	0.99	0.11	1.99	1.30	0.09	0.41	0.54	1.21	0.69	0	10.96	0.29	0.65	0.54	0.14	0.04	0.71	0.01	1.39	0.02	7.22	0.05	0.74	21.02	4.17	0.24	0.01	0.49	12.45	1.14	0.25	0.89	0.45	1.09	0.63	0.02	0.91	0.09	3.17	0.03	0	0	0.24	0.10	0.56	0.21	2.14	0.22	0.80	0.03	0	4.69	1.89	1.87	3.55	4.69	0.83	0.42	0.02	0.69	1.96	0.16	0.01	1.87	0.05	0.49	0.19	0.15	1.35	0.07	0.32	0.15	0.14	0.52	0	0.03	0.58	0.07	0.05	0.09	0.06	0.46	0.22	0.21	0.59	
ACA-ACJ-002	17935	4.86	197	0	0	0.61	4.62	0.68	0.68	3.22	0.85	0.07	1.05	0.13	2.04	1.73	0.11	0.35	0.55	1.29	0.69	0.01	10.12	0.27	0.60	0.61	0.15	0.03	0.33	0	1.64	0.02	8.33	0.05	0.56	21.62	3.96	0.21	0	0.42	12.34	1.14	0.21	0.95	0.57	0.91	0.52	0.02	0.97	0.11	3.16	0.03	0	0	0.22	0.13	0.65	0.26	2.21	0.24	1.06	0	0	4.40	1.01	1.81	3.06	5.70	0.66	0.34	0.01	0.74	1.83	0.18	0	1.44	0.06	0.52	0.17	0.11	1.01	0.06	0.48	0.15	0.18	0.36	0	0.03	0.49	0.09	0.05	0.07	0.04	0.37	0.16	0.23	0.67	
ACA-ALP-001	6349	5.06	182	0.03	0	0.36	4.74	1.07	1.07	3.86	1.12	0.13	0.39	0.11	2.30	2.91	0.03	0.20	0.69	0.80	0.80	0.03	9.94	0.38	0.77	0.13	0.79	0.27	0.83	0.03	1.61	0.06	5.99	0.13	0.17	21.99	4.65	0.16	0	0.98	12.57	1.10	0.08	0.49	0.47	0.88	0.43	0	0.54	0.14	2.68	0.13	0.55	0.11	0.22	0.05	0.25	0.33	2.14	0.16	1.34	0.09	0.02	3.67	2.76	2.44	3.51	4.38	0.30	0.32	0	0.76	1.61	0.19	0.36	1.73	0.09	0.49	0.05	0.09	1.62	0.16	0.41	0.03	0.08	0.39	0.05	0.08	0.32	0.22	0.08	0	0.03	0.25	0.38	0.47	0.46	
ACA-ALP-002	6113	4.46	178	0	0	0.34	3.52	0.54	0.54	3.52	1.16	0.11	0.43	0.18	3.01	3.86	0.11	0.20	0.23	1.57	1.03	0	7.90	0.26	1.67	0.21	0.39	0.13	0.46	0	1.46	0.03	6.30	0	0.05	20.87	2.01	0.07	0.02	0.82	15.34	0.49	0.11	0.59	0.54	0.93	0.31	0	1.03	0.16	2.52	0.10	0.03	0	0.23	0.02	0.34	0.23	1.60	0.07	3.39	0.05	0	2.90	6.46	1.57	4.14	1.49	0.23	1.36	0.03	0.72	2.18	0.07	0.36	1.42	0.03	1.67	0.20	0.11	1.19	0.07	0.83	0	0.16	0.39	0	0.10	0.28	0.21	0.08	0.10	0	0.67	0.26	0.26	0.39	
ACA-ALP-003	4927	5.41	184	0	0	0.51	6.76	2.09	2.09	4.04	1.16	0.14	1.66	0	2.11	2.84	0.08	0.10	0.75	1.06	0.63	0	9.42	0.22	0.45	0.04	0.97	0.51	0.24	0	1.04	0.02	6.66	0.16	0.12	21.64	8.77	0.02	0	1.70	12.50	0.75	0.24	0.69	0.26	0.91	0.67	0	0.79	0.02	2.98	0.06	0.02	0	0.08	0.04	0.35	0.08	1.16	0.04	1.79	0.12	0.02	3.13	1.18	1.26	2.72	5.20	0.51	0.49	0.04	0.51	1.68	0.08	0	1.16	0.02	0.39	0.37	0.16	1.44	0.02	0.47	0.02	0.14	0.26	0.02	0.10	0.73	0.16	0.18	0	0.18	0.10	0.22	0.16	0.67	
