Filename	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``	
FIC-AB9-002	5637	4.37	225	0	0	2.45	7.11	0	0	7.08	0.51	0.28	1.03	0.07	1.95	0.94	0.07	0.32	0.11	0.78	0.67	0.16	6.51	0.18	0.71	0.16	2.59	0	0.30	0.02	1.97	0.02	5.91	0	0.21	18.33	1.30	0.20	0	0.55	9.38	1.28	0.35	0.43	0.76	0.92	0.73	0.02	0.94	0.35	4.68	0.35	1.21	0	0.23	0.11	0.21	0.43	1.86	0.09	7.43	0.12	0.20	3.94	7.88	2.47	2.79	3.76	0.28	0.66	0.02	1.28	2.13	0.02	1.95	0.64	0.07	1.21	0.09	0.44	2.38	0.27	0.80	0.04	0.07	0.37	0	0.23	0.60	0.62	0.12	0.05	0.21	0.18	0	0.25	2.50	
FIC-AB9-003	4275	4.41	210	0	0	1.57	7.98	0	0	5.29	0.42	0.35	1.03	0.07	2.13	0.70	0.09	0.35	0.14	0.68	0.40	0.09	7.93	0.28	0.37	0.16	1.33	0	0.37	0	1.99	0.05	6.48	0	0.16	19.06	1.01	0.19	0.07	0.49	8.98	0.89	0.51	0.58	0.58	0.82	0.63	0	1.01	0.37	5.10	0.37	0.61	0	0.23	0.02	0.26	0.44	1.92	0.19	8.16	0.05	0.12	3.84	8.73	3.39	2.85	1.87	0.35	0.65	0	0.94	1.82	0.14	1.29	0.40	0.12	1.26	0.05	0.58	1.75	0.23	0.75	0.07	0.09	0.42	0	0.28	0.58	0.37	0.05	0.14	0.05	0.26	0.02	0.42	1.71	
FIC-AB9-004	6665	4.37	217	0	0	2.10	7.11	0	0	6.56	0.68	0.38	1.08	0.05	2.46	0.48	0.05	0.24	0.05	0.62	0.50	0.11	7.14	0.23	0.62	0.21	1.94	0.06	0.21	0.05	1.88	0.06	5.27	0	0.21	18.92	0.98	0.21	0.02	0.54	9.05	1.25	0.35	0.51	0.56	0.81	0.99	0.03	0.95	0.26	5.22	0.56	1.07	0	0.20	0.05	0.17	0.32	1.65	0.08	7.98	0.06	0.21	3.99	9.29	2.63	3.17	2.33	0.18	0.93	0	1.02	1.92	0.03	1.67	0.56	0.08	1.58	0.06	0.53	2.52	0.20	0.69	0.06	0.08	0.47	0	0.21	0.59	0.69	0.12	0.05	0.08	0.30	0.08	0.23	2.19	
FIC-AB9-005	3056	4.21	221	0	0	2.65	6.87	0	0	7.17	0.49	0.46	0.88	0.03	1.90	0.72	0.10	0.62	0.10	1.01	0.46	0.16	7.17	0.20	0.69	0.36	4.12	0	0.33	0.03	1.73	0.13	6.41	0	0.16	16.56	0.79	0.13	0.03	0.26	8.61	1.47	0.26	0.85	0.62	0.49	1.15	0.03	0.82	0.36	5.04	0.39	1.60	0	0.16	0	0.20	0.75	1.77	0.03	6.94	0	0.23	4.74	7.56	1.77	2.75	4.06	0.16	0.59	0	1.47	2.09	0.07	2.39	0.39	0.07	1.24	0.03	0.33	2.62	0.29	0.79	0.03	0	0.16	0	0.33	0.62	0.69	0.23	0	0	0.13	0.13	0.10	2.78	
FIC-AB9-006	3443	4.26	242	0.32	0	2.06	6.24	0	0	6.97	1.19	0.41	1.07	0.09	2.00	1.60	0.03	0.29	0.03	0.87	0.70	0.29	6.97	0.29	0.70	0.29	2.76	0	0.46	0.03	1.74	0.06	5.23	0	0.12	19.00	0.73	0.12	0	0.35	9.27	2.09	0.32	0.81	0.67	0.78	1.22	0	0.81	0.32	4.79	0.44	1.05	0	0.17	0.06	0.17	0.58	1.92	0.17	5.90	0.06	0.52	4.62	7.73	1.37	2.85	3.22	0.17	0.84	0	1.31	2.18	0.06	2.27	0.67	0.06	1.42	0.06	0.20	1.86	0.38	0.96	0.06	0.15	0.15	0	0.29	0.55	0.49	0.09	0	0.15	0.03	0.12	0.15	2.09	
FIC-AB9-007	5117	4.40	228	0.02	0	1.82	6.49	0	0	6.06	0.86	0.10	1.04	0.18	1.92	0.61	0	0.33	0.12	0.82	0.57	0.25	6.55	0.20	0.59	0.35	2.89	0.02	0.29	0.08	2.09	0.06	5.37	0	0.20	18.59	1.25	0.21	0.02	0.45	9.48	1.31	0.45	0.74	0.63	0.72	0.72	0	1.21	0.29	4.81	0.25	1.06	0	0.14	0.10	0.33	0.39	2.25	0.10	6.45	0.02	0.23	4.67	7.60	2.62	2.68	3.69	0.23	1.00	0	1.17	1.80	0.04	1.72	0.64	0.08	1.00	0.08	0.25	2.60	0.29	0.51	0.06	0.10	0.59	0	0.33	0.74	0.49	0.18	0.08	0.08	0.23	0.06	0.18	1.82	
FIC-AB9-008	7555	4.28	222	0.17	0	2.08	6.83	0.01	0.01	6.30	0.66	0.29	1.14	0.08	2.16	0.83	0.09	0.30	0.09	0.77	0.57	0.15	6.62	0.20	0.71	0.19	2.55	0.01	0.49	0.07	1.71	0.09	5.37	0	0.11	17.54	0.95	0.13	0.03	0.41	9.01	1.64	0.45	0.50	0.73	0.70	1.19	0	1.14	0.40	4.80	0.29	0.95	0.01	0.16	0.09	0.38	0.57	2.18	0.17	7.07	0.07	0.19	4.69	8.43	2.36	3.52	2.91	0.20	0.73	0.01	1.35	2.06	0.05	2.18	0.75	0.08	1.76	0.08	0.33	2.44	0.24	0.97	0.07	0.12	0.56	0	0.17	0.65	0.60	0.11	0.03	0.16	0.15	0.12	0.24	2.14	
FIC-AC2-001	3264	4.68	228	0	0.06	0.95	5.24	0	0	4.69	0.40	0.31	0.40	0.12	1.78	0.77	0.03	0.28	0.18	0.67	0.21	0.28	10.42	0.12	0.70	0.15	0.49	0.06	0.74	0	1.59	0.09	7.44	0	0.12	23.16	2.11	0.18	0	0.74	10.54	1.26	0.58	0.46	0.55	0.67	0.49	0	1.10	0.25	3.71	0.55	0.83	0	0.09	0	0.31	0.37	2.02	0.12	3.83	0	0.18	3.55	7.20	2.30	3.22	1.19	0.80	0.37	0	0.67	1.53	0.18	0.55	0.83	0.06	1.50	0.06	0.46	1.41	0	0.61	0.21	0.03	0.61	0	0.09	0.46	0.21	0.15	0	0	0.58	0.09	0.52	0.92	
FIC-AC2-002	3562	4.37	204	0	0	2.89	4.80	0	0	7.72	0.42	0.08	0.62	0.08	2.22	0.51	0	0.36	0.03	0.84	0.53	0.31	7.97	0.17	0.62	0.14	2.70	0.08	0.42	0.06	2.02	0.08	5.70	0	0.20	20.38	2.84	0.20	0	0.39	9.10	1.68	0.56	0.81	0.79	0.87	1.43	0.20	1.09	0.28	4.15	0.31	1.74	0.03	0.22	0	0.28	0.48	1.74	0.36	4.04	0	0.45	5.31	4.10	1.74	1.99	4.83	0.22	0.90	0	1.26	2.27	0.11	2.70	0.59	0.06	0.87	0.03	0.11	1.12	0.31	0.73	0.06	0.03	0.59	0	0.22	0.28	0.22	0.08	0.03	0.22	0.20	0.03	0.20	2.41	
FIC-AC2-003	5696	4.43	224	0	0	2.19	5.13	0	0	8.23	0.49	0.30	0.39	0.02	1.53	0.74	0.04	0.33	0.02	0.58	0.53	0.12	8.57	0.23	0.84	0.14	1.37	0	0.53	0.05	1.65	0.09	5.65	0	0.25	19.93	1.69	0.12	0.02	0.54	9.53	1.09	0.56	0.35	0.58	0.67	0.74	0.02	0.86	0.11	4.53	0.28	1.39	0	0.28	0.05	0.37	0.77	2.18	0.12	7.51	0	0.12	3.99	8.41	2.49	2.60	2.37	0.61	0.63	0.02	0.97	1.88	0.07	1.26	0.58	0.07	1.30	0.05	0.67	1.60	0.14	1.14	0.21	0.02	0.83	0	0.12	0.68	0.23	0.11	0.09	0.05	0.37	0.07	0.09	2.18	
