Filename	AMP	ANDC	AWL	CAUS	CONC	COND	CONJ	DEMO	DEMP	DPAR	DWNT	EMPH	EX	FPP1	GER	HDG	INPR	JJ	NEMD	NN	NOMZ	OSUB	PHC	PIN	PIT	PLACE	POMD	PRED	PRMD	RB	SPP2	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	TTR	VBD	VPRT	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	Underused_variables	Overused_variables	
JSC-15B-08N	0.35	-0.44	0.05	4.29	2.38	-0.05	5.25	2.79	-0.96	0.52	1.00	1.93	2.78	-0.03	-0.58	-0.46	-0.70	-0.42	3.00	1.83	-0.38	-0.91	5.85	-0.76	1.08	0.15	-1.66	5.12	-0.19	-1.75	-0.54	0.44	-0.50	0.93	-1.49	1.20	2.55	-0.74	-0.50	-1.37	-0.96	0.57	1.56	-0.33	-0.62	-0.40	-0.18	-0.25	-0.27	-0.64	-0.59	0.46	-0.86	-0.98	-0.25	0.40	-1.72	0.00	-0.74	0.23	-0.17	0.60	-0.82	-0.33	1.35	-0.81	-0.89		CAUS CONC CONJ DEMO EX NEMD PHC PRED TOBJ 
JSC-15B-09N	0.54	-0.10	-0.18	1.76	0.25	1.50	4.13	2.86	0.23	-0.43	0.88	0.02	1.06	1.05	-1.24	-0.31	-0.30	-0.66	4.38	0.25	1.04	-0.18	0.74	-1.19	0.70	-0.65	1.14	5.69	0.12	-1.81	-0.14	-0.06	1.83	1.14	-1.00	0.63	1.55	-0.47	0.50	-1.03	-0.66	0.31	2.02	0.57	0.54	-0.34	0.35	0.25	-1.33	-0.55	-0.18	1.45	-0.71	0.09	2.00	-0.20	-1.24	0.00	-0.48	1.52	0.93	1.10	-0.18	0.83	1.20	-0.65	0.06		CONJ DEMO NEMD PRED XX0 
JSC-15B-10N	0.58	0.06	-0.10	1.00	-0.13	0.36	3.81	1.07	-0.13	-0.39	0.81	0.14	1.06	0.51	-1.13	-0.46	-0.35	-0.88	3.67	1.78	0.06	-0.27	1.11	-1.17	0.63	-0.47	0.40	4.08	-0.31	-1.98	-0.28	0.06	2.00	1.79	-0.66	0.70	0.64	-0.48	0.50	-0.69	-0.40	0.03	1.26	-0.38	0.69	-0.47	0.62	0.50	-0.77	-0.45	-0.18	1.43	-0.20	0.30	1.00	-0.10	-1.12	3000.00	-0.41	1.06	0.61	0.90	-0.35	0.67	2.05	-0.65	-0.11		CONJ NEMD PRED [SPIN] [WHSUB] 
JSC-15B-11N	0.96	0.08	-0.02	2.47	0.38	0.77	3.25	2.36	0.31	-0.35	0.44	0.24	0.17	0.83	-0.89	-0.23	-0.45	-0.56	3.43	0.67	0.76	-0.18	0.59	-0.92	0.70	-0.53	1.23	5.04	-0.21	-1.87	-0.32	-0.19	1.83	0.48	-0.97	0.45	1.36	-0.38	2.50	-0.74	-0.26	-0.01	2.07	0.01	0.23	-0.35	0.41	0.25	-0.87	-0.45	-0.24	1.39	-0.29	-0.13	0.50	0.30	-0.92	0.00	-0.56	1.00	0.93	0.80	-0.35	0.00	1.05	-0.48	-0.22		CAUS CONJ DEMO NEMD PRED TSUB XX0 
JSC-15B-12N	0.00	0.17	0.32	1.71	0.25	0.95	4.44	0.55	-0.02	-0.17	0.12	0.67	0.78	0.29	-0.95	-0.31	-0.55	1.20	2.86	0.87	0.69	-0.09	1.44	-0.96	0.39	-0.50	1.06	3.15	0.14	-1.98	-0.38	-0.31	1.17	1.03	-0.54	1.21	1.64	-0.75	0.88	0.12	-0.88	0.10	0.67	-0.52	0.15	-0.48	-0.21	0.00	-0.90	-0.55	-0.24	0.22	-0.49	0.06	0.75	-0.50	-1.28	0.00	-0.44	0.87	0.12	0.00	-0.59	-0.17	0.60	-0.58	0.17		CONJ NEMD PRED 
JSC-15B-13N	0.69	0.13	0.22	1.71	0.38	0.73	3.75	0.10	0.10	-0.26	0.88	0.55	1.28	0.49	-1.21	-0.15	-0.55	-0.23	3.48	1.12	0.26	-0.09	0.96	-0.81	0.37	-0.32	0.91	4.42	0.07	-2.12	-0.30	-0.63	1.83	0.76	-0.34	1.02	2.00	-0.08	1.13	-0.16	-0.66	0.24	1.48	0.21	0.62	-0.45	0.05	-0.25	-1.21	-0.55	0.00	1.10	-0.40	0.65	0.50	0.20	-1.40	2000.00	-0.41	0.58	0.80	0.80	-0.59	0.33	0.60	-0.61	0.11	RB 	CONJ NEMD PRED [SPIN] 
JSC-15B-14N	0.12	0.10	0.32	1.41	1.25	-0.68	2.69	-0.10	-0.23	0.13	0.94	1.00	1.83	-0.14	-1.05	-0.08	-0.70	-0.30	1.38	1.19	0.25	0.91	1.52	-0.61	0.59	-0.47	0.49	6.27	-0.02	-2.36	-0.50	-1.06	2.00	1.28	-0.77	2.34	1.09	0.25	-0.50	-0.40	-0.63	0.20	-0.41	0.87	0.15	-0.65	0.36	-0.25	-0.98	-0.64	0.88	0.82	-0.57	-0.31	2.25	0.20	-1.20	10000.00	-0.74	0.84	0.22	-0.60	-0.53	0.50	0.45	-0.81	1.06	RB 	CONJ PRED TO [SERE] [SPIN] 
JSC-15B-15N	0.19	0.27	0.20	0.88	0.12	-0.55	4.06	1.93	-0.29	-0.26	-0.06	0.19	0.56	-0.08	-1.16	-0.46	-0.70	-0.01	1.43	1.88	0.58	-0.91	2.07	0.31	0.37	-0.74	0.17	2.15	0.36	-2.12	-0.62	-1.06	-0.50	0.62	-0.94	1.13	0.45	-0.99	1.13	-0.55	-0.58	-0.62	0.72	-0.95	-0.15	-0.52	0.68	-0.25	-1.29	-0.64	0.53	-0.13	-0.31	-0.83	-0.25	1.10	-1.68	0.00	-0.74	-0.32	-0.12	-0.60	-0.82	-0.33	-1.05	-0.61	-0.17	RB 	CONJ PHC PRED 
JSC-15B-16N	1.62	0.00	0.22	1.00	-0.13	-0.23	2.31	2.10	0.31	-0.52	1.31	0.33	1.50	0.73	-0.66	-0.46	-0.70	-0.72	2.67	1.48	1.41	0.18	3.41	-0.66	-0.01	-0.44	1.00	1.62	-0.45	-1.95	-0.39	-0.06	1.50	1.52	-0.43	-0.41	1.45	-0.86	1.00	-0.45	-0.32	-0.18	0.61	-0.63	2.54	-0.35	0.58	2.75	-0.10	-0.64	0.12	1.00	0.06	-0.44	0.75	0.40	-0.40	4000.00	-0.30	0.52	0.34	-0.20	-0.82	0.33	0.55	-0.55	0.89		CONJ DEMO NEMD PHC [BYPA] [PASTP] [SPIN] 
JSC-15B-17N	0.27	-0.08	0.90	1.59	-0.25	0.00	3.94	1.29	-0.04	-0.52	0.31	0.00	1.06	0.05	1.37	0.00	-0.55	0.16	4.38	0.51	1.51	0.82	0.70	-0.94	1.76	-0.65	-0.49	3.35	0.17	-2.31	-0.58	-0.25	3.17	0.69	-0.06	2.75	1.55	-0.96	1.50	-0.50	-0.45	-0.23	-0.16	-0.41	0.08	-0.39	0.64	-0.25	-1.12	-0.09	0.88	1.10	-0.49	-0.04	0.50	-0.50	-1.20	0.00	-0.52	2.10	0.68	-0.60	-0.65	0.17	0.35	-0.61	0.33	RB 	CONJ NEMD PRED THAC TO [SUAV] 
